Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,27686,8,907,,25459,Australia/Oceania,1
Fiji,35,1,2,,32,Australia/Oceania,1
French Polynesia,10971,,52,,4842,Australia/Oceania,1
Marshall Islands,1,,,,,Australia/Oceania,0
New Caledonia,29,,,,28,Australia/Oceania,0
New Zealand,1988,1,25,,1911,Australia/Oceania,1
Papua New Guinea,599,,7,,586,Australia/Oceania,1
Solomon Islands,16,,,,5,Australia/Oceania,0
Vanuatu,1,,,,,Australia/Oceania,0
Wallis and Futuna,1,,,,1,Australia/Oceania,0
