Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,4.403017514222281,,2.762678563727436,,4.091772441419683,Europe,1
Andorra,3.7385427409287852,,1.8750612633917,,3.643945912748067,Europe,1
Austria,5.217131101157779,,3.1758016328482794,,4.99415431671742,Europe,1
Belarus,5.038846587685254,3.024074987307426,3.009450895798694,0.7781512503836436,4.965041693087811,Europe,1
Belgium,5.7054146522414495,3.6327608884794387,4.132291715966803,2.537819095073274,4.484356792265614,Europe,1
Bosnia and Herzegovina,4.813073681931788,,3.2119210843085093,,4.508677825165493,Europe,1
Bulgaria,4.920988964030285,,3.267406418752904,,4.411602872517545,Europe,1
Channel Islands,2.9876662649262746,,1.6812412373755872,,2.884228769632604,Europe,1
Croatia,4.862369937122883,3.4144719496293026,2.9508514588885464,1.4471580313422192,4.751540833831289,Europe,1
Czechia,5.6333472402049605,,3.7261564661727546,,5.44322072972356,Europe,1
Denmark,4.755554731257078,,2.8750612633917,,4.625816434004728,Europe,1
Estonia,3.8134475442648212,2.12057393120585,1.8808135922807914,,3.641275757231913,Europe,1
Faroe Islands,2.696356388733332,,,,2.69284691927723,Europe,0
Finland,4.263517716091966,2.376576957056512,2.5599066250361124,,4.103803720955957,Europe,1
France,6.262370156278019,,4.625384484356541,,5.120310642636462,Europe,1
Germany,5.849571113942802,3.2060158767633444,4.0747433209410024,1.255272505103306,5.657820456015697,Europe,1
Gibraltar,2.910624404889201,,,,2.846337112129805,Europe,0
Greece,4.782257573663301,,2.937517892017347,,3.999522013128904,Europe,0
Hungary,5.089421115472711,3.596047007545439,3.4308809464528913,2.0043213737826426,4.459513108363229,Europe,1
Iceland,3.711132072306842,1.4471580313422192,1.380211241711606,,3.6604860157849677,Europe,1
Ireland,4.818812916292755,,3.292920299600006,,4.368547197567657,Europe,1
Isle of Man,2.5550944485783194,,1.3979400086720377,,2.5171958979499744,Europe,1
Italy,5.998025122530725,,4.6266482684740105,,5.559934141445612,Europe,1
Latvia,3.946845113960623,2.656098202012832,2.0211892990699383,0.3010299956639812,3.16761267272753,Europe,1
Liechtenstein,2.9273703630390235,,0.6020599913279624,,2.7708520116421442,Europe,1
Lithuania,4.451202892057113,3.15259407792747,2.3710678622717363,1.146128035678238,3.8200700343123257,Europe,1
Luxembourg,4.374931553978188,,2.296665190261531,,4.14903426716125,Europe,1
Malta,3.8771985152717896,2.1492191126553797,1.9294189257142926,0.6020599913279624,3.7300551523755,Europe,0
Moldova,4.922164716169842,,3.285557309007774,,4.811749224880374,Europe,1
Monaco,2.709269960975831,,0.3010299956639812,,2.5774917998372255,Europe,1
Montenegro,4.38298906196446,,2.5428254269591797,,4.214260866777542,Europe,1
Netherlands,5.622640852116992,,3.9106777547427054,,N/A,Europe,0
North Macedonia,4.6151290589592655,,3.074084689028244,,4.396548037987132,Europe,1
Norway,4.413081723708829,,2.45484486000851,,4.074194530401819,Europe,1
Poland,5.791559428765146,4.4017623021368255,3.944729360303296,2.6334684555795866,5.385382813607839,Europe,1
Portugal,5.272391674039023,,3.4801507252732806,,5.028888318287433,Europe,1
Romania,5.510670990948866,3.991181757667873,3.9237101943965627,2.307496037913213,5.33862778700053,Europe,1
Russia,6.264099699600086,4.297782389363258,4.499590867487432,2.635483746814912,6.136516686204057,Europe,1
San Marino,3.04688519083771,,1.6232492903979006,,2.89707700320942,Europe,1
Serbia,4.82534821042491,,2.9614210940664485,,4.498806606935368,Europe,1
Slovakia,4.898620982282813,3.313445370426414,2.617000341120899,1.380211241711606,4.366366915612642,Europe,1
Slovenia,4.689610717638639,3.345765693114488,2.8095597146352675,1.6020599913279623,4.440547019116441,Europe,1
Spain,6.1595662909588285,,4.599402681929585,,N/A,Europe,0
Sweden,5.210157937653242,,3.7822575736633017,,N/A,Europe,0
Switzerland,5.38644902327263,3.9175055095525466,3.485295438726089,1.6434526764861874,5.088490470182396,Europe,1
UK,6.091235965881985,,4.696967640744023,,N/A,Europe,0
Ukraine,5.690025874148192,4.025756314534414,3.951677437343301,2.2810333672477277,5.345293334523298,Europe,1
Vatican City,1.4313637641589874,,,,1.1760912590556813,Europe,0
