Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,2.1172712956557644,,0.47712125471966244,,2.0863598306747484,North America,1
Aruba,3.6648299411430907,,1.6232492903979006,,3.643353961976863,North America,1
Bahamas,3.8458419074217574,,2.187520720836463,,3.7019994748896368,North America,1
Barbados,2.385606273598312,,0.8450980400142568,,2.3636119798921444,North America,1
Belize,3.644832328825636,2.2648178230095364,1.863322860120456,0.3010299956639812,3.387389826338729,North America,1
Bermuda,2.330413773349191,,0.9542425094393249,,2.2600713879850747,North America,1
British Virgin Islands,1.8512583487190752,,0.0,,1.845098040014257,North America,1
Canada,5.436221503476694,,4.026614967934676,,5.34494020011401,North America,0
Caribbean Netherlands,2.187520720836463,,0.47712125471966244,,2.161368002234975,North America,1
Cayman Islands,2.403120521175818,,0.0,,2.3729120029701067,North America,1
Costa Rica,5.0739601685448195,,3.17666993266815,,4.862971713070234,North America,1
Cuba,3.8687619582120503,,2.113943352306837,,3.829239428141389,North America,1
Curaçao,3.053462604925455,,0.3010299956639812,,2.92272545799326,North America,1
Dominica,1.7993405494535817,,,,1.5440680443502757,North America,0
Dominican Republic,5.117705373135083,,3.355834495884936,,5.036489164182994,North America,1
El Salvador,4.545863547652644,,3.010299956639812,0.6020599913279624,4.493764667567145,North America,1
Greenland,1.2304489213782739,,,,1.2304489213782739,North America,0
Grenada,1.505149978319906,,,,1.4313637641589874,North America,0
Guadeloupe,3.9083777724323947,,2.143014800254095,,3.3506356082589543,North America,1
Guatemala,5.049717949001463,,3.583425500406507,,5.009195853519521,North America,1
Haiti,3.9608036249117697,,2.3654879848909,,3.885530833188092,North America,1
Honduras,5.003477765675585,2.3636119798921444,3.444044795918076,1.1760912590556813,4.638559137800543,North America,1
Jamaica,3.981048058913173,,2.3502480183341627,,3.697839368218363,North America,1
Martinique,3.675044735955893,,1.568201724066995,,1.9912260756924949,North America,1
Mexico,5.990574588722359,3.759365621655929,4.981555867857225,2.7902851640332416,5.8608444878561645,North America,1
Montserrat,1.1139433523068367,,0.0,,1.0791812460476249,North America,1
Nicaragua,3.752893154884594,,2.1986570869544226,,3.625826713285711,North America,1
Panama,5.150148308931479,,3.4497868469857735,,5.0781195470019505,North America,1
Saint Barthelemy,1.954242509439325,,,,1.8864907251724818,North America,0
Saint Kitts and Nevis,1.2787536009528289,,,,1.2787536009528289,North America,0
Saint Lucia,2.1702617153949575,,0.3010299956639812,0.0,1.505149978319906,North America,1
Saint Martin,2.7810369386211318,,1.0791812460476249,,2.717670503002262,North America,1
Saint Pierre and Miquelon,1.2041199826559248,,,,1.0791812460476249,North America,0
Saint Vincent and the Grenadines,1.8808135922807914,,,,1.8573324964312685,North America,0
Trinidad and Tobago,3.7693773260761385,,2.0453229787866576,,3.7191654940892134,North America,1
Turks and Caicos,2.851869600729766,,0.7781512503836436,,2.8419848045901137,North America,1
USA,7.024022145615692,3.9754777631658746,5.390834466234095,2.155336037465062,6.819709528091258,North America,1
