Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,4.842553077210082,,3.339650157613684,,4.6546385163726205,Africa,1
Angola,4.140445188347875,,2.515873843711679,,3.8183578779583547,Africa,1
Benin,3.4647875196459372,1.505149978319906,1.6334684555795864,,3.4114513421379375,Africa,0
Botswana,3.9591845427311916,,1.4771212547196624,,3.83257277484618,Africa,1
Burkina Faso,3.4235735197327357,,1.8325089127062364,,3.3898745583909853,Africa,1
Burundi,2.8068580295188172,1.0,0.0,,2.7596678446896306,Africa,0
Cabo Verde,3.998259338423699,,2.012837224705172,,3.9748799730069306,Africa,1
Cameroon,4.359759616415701,,2.6364878963533656,,4.332640410387462,Africa,1
Central African Republic,3.690196080028514,,1.7993405494535817,,3.284205067701794,Africa,1
Chad,3.2062860444124324,,2.0043213737826426,,3.161368002234975,Africa,1
Comoros,2.7715874808812555,,0.8450980400142568,,2.7466341989375787,Africa,1
DR Congo,4.074304344001435,,2.507855871695831,,4.048441803550404,Africa,1
Djibouti,3.752509400788843,,1.7853298350107671,,3.7441364524012473,Africa,1
Egypt,5.046432727576249,,3.8116420214531512,,5.00555799577996,Africa,1
Equatorial Guinea,3.709354775834396,,1.9294189257142926,,3.6967930850817443,Africa,1
Eritrea,2.714329759745233,,,,2.6541765418779604,Africa,0
Eswatini,3.7870351820262234,,2.0755469613925306,,3.764325605625984,Africa,1
Ethiopia,5.014499537549868,,3.2008504980910772,,4.808163691013444,Africa,1
Gabon,3.9582771255476974,,1.7634279935629373,,3.9521625742144626,Africa,1
Gambia,3.568788212315347,,2.0863598306747484,,3.55339751012388,Africa,1
Ghana,4.702921425290207,1.9084850188786497,2.509202522331103,,4.68761812957177,Africa,1
Guinea,4.103221992452924,1.462397997898956,1.8750612633917,,4.062092892630169,Africa,1
Guinea-Bissau,3.383994789441733,,1.6334684555795864,,3.359076226059263,Africa,1
Ivory Coast,4.3223020096150195,,2.110589710299249,,4.3154455182245846,Africa,1
Kenya,4.855694776220782,,3.114610984232173,,4.67451209585296,Africa,1
Lesotho,3.313445370426414,0.6020599913279624,1.6434526764861874,,3.1048284036536553,Africa,1
Liberia,3.1795517911651876,,1.9138138523837167,,3.119915410257991,Africa,1
Libya,4.87774557638143,2.7234556720351857,3.0224283711854865,1.0791812460476249,4.663955209955912,Africa,1
Madagascar,4.2382970678753935,,2.3979400086720375,,4.219898739044965,Africa,1
Malawi,3.7760470711817797,,2.2671717284030137,,3.732554579851432,Africa,1
Mali,3.5998830720736876,,2.1492191126553797,,3.4730488050885375,Africa,1
Mauritania,3.902764143924086,,2.2174839442139063,,3.8779469516291885,Africa,1
Mauritius,2.6910814921229687,,1.0,,2.6344772701607315,Africa,1
Mayotte,3.693990610460777,,1.662757831681574,,3.4718781993072905,Africa,1
Morocco,5.479437097033307,,3.693023067923694,,5.393740116121649,Africa,1
Mozambique,4.163340305618251,,2.0718820073061255,,4.101953177477199,Africa,1
Namibia,4.132451812729004,,2.146128035678238,,4.118595365223762,Africa,1
Niger,3.1228709228644354,,1.845098040014257,,3.060697840353612,Africa,1
Nigeria,4.815956097010759,,3.0655797147284485,,4.7877225307709,Africa,1
Rwanda,3.7409150764812824,,1.662757831681574,,3.6996643202023733,Africa,1
Réunion,3.854973673726417,,1.4913616938342726,,3.7729081949712717,Africa,1
Senegal,4.1992888280824054,1.2304489213782739,2.5171958979499744,,4.188450356186585,Africa,1
Seychelles,2.2041199826559246,,,,2.1958996524092336,Africa,0
Sierra Leone,3.3787611753163733,,1.8692317197309762,,3.2607866686549762,Africa,1
Somalia,3.6416723732246865,,2.03342375548695,,3.529430354366986,Africa,1
South Africa,5.87751877361206,,4.31031087991934,,5.843120607219163,Africa,1
South Sudan,3.4794313371977363,,1.7708520116421442,,3.110589710299249,Africa,1
Sudan,4.177449920971825,,3.070037866607755,,3.9826781933834843,Africa,1
São Tomé and Príncipe,2.9854264740830017,,1.2041199826559248,,2.962369335670021,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.434888120867316,,1.792391689498254,,3.302330928684399,Africa,1
Tunisia,4.912344300930691,,3.388278863459639,,4.753950560063051,Africa,1
Uganda,4.2191390018598005,,2.1760912590556813,,3.917872955198848,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.237543738142874,1.568201724066995,2.5514499979728753,0.47712125471966244,4.217352319881362,Africa,1
Zimbabwe,3.951580344903392,,2.4149733479708178,,3.911902996044033,Africa,1
