Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,44228,377,1650,5,35350,Asia,1
Armenia,121979,1520,1870,31,88388,Asia,1
Azerbaijan,83994,2597,1053,23,59465,Asia,1
Bahrain,85182,,337,,83087,Asia,1
Bangladesh,441159,2364,6305,30,356722,Asia,1
Bhutan,378,,,,357,Asia,0
Brunei,148,,3,,145,Asia,0
Cambodia,304,,,,291,Asia,0
China,86381,12,4634,,81433,Asia,1
Cyprus,7711,,41,,2021,Asia,1
Georgia,93092,3697,853,38,73877,Asia,1
Hong Kong,5492,12,108,,5233,Asia,1
India,8960098,1955,131639,21,8383602,Asia,1
Indonesia,483518,4798,15600,97,406612,Asia,1
Iran,815117,13223,43417,476,583704,Asia,1
Iraq,529226,2374,11834,39,457490,Asia,1
Israel,326628,297,2739,,315508,Asia,1
Japan,120815,,1913,,105697,Asia,1
Jordan,163926,,1969,,94896,Asia,1
Kazakhstan,123097,762,1945,,111172,Asia,1
Kuwait,138822,485,859,2,130426,Asia,1
Kyrgyzstan,68316,422,1217,5,59362,Asia,1
Laos,25,,,,23,Asia,0
Lebanon,110037,,852,,62528,Asia,1
Macao,46,,,,46,Asia,0
Malaysia,51680,1290,326,4,38132,Asia,1
Maldives,12384,,45,,11406,Asia,1
Mongolia,518,45,,,329,Asia,0
Myanmar,73322,,1650,,54764,Asia,1
Nepal,215020,2103,1276,17,185638,Asia,1
Oman,121360,231,1365,5,112406,Asia,1
Pakistan,365927,2547,7248,18,326674,Asia,1
Palestine,67296,1110,598,9,57469,Asia,1
Philippines,413430,1337,7998,41,374939,Asia,1
Qatar,136649,208,235,,133691,Asia,1
Saudi Arabia,354527,319,5729,19,341956,Asia,1
Singapore,58139,4,28,,58046,Asia,1
South Korea,29654,343,498,2,26098,Asia,1
Sri Lanka,18645,243,69,,12903,Asia,1
Syria,6919,,358,,2868,Asia,1
Taiwan,609,2,7,,545,Asia,1
Tajikistan,11731,,86,,11105,Asia,1
Thailand,3888,8,60,,3742,Asia,1
Timor-Leste,30,,,,30,Asia,0
Turkey,425628,,11820,,361655,Asia,1
UAE,155254,1153,544,2,146469,Asia,1
Uzbekistan,70921,140,601,2,68123,Asia,1
Vietnam,1300,,35,,1124,Asia,1
Yemen,2083,,607,,1417,Asia,1
