Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,128,1,3,,117,North America,1
Aruba,4513,,38,,4319,North America,1
Bahamas,6714,,144,,4422,North America,1
Barbados,237,1,7,,221,North America,1
Belize,3487,25,59,1,2160,North America,1
Bermuda,199,,9,,176,North America,1
British Virgin Islands,71,,1,,70,North America,1
Canada,234511,,10136,,195876,North America,0
Caribbean Netherlands,153,,3,,145,North America,1
Cayman Islands,240,,1,,221,North America,1
Costa Rica,109971,,1385,,66719,North America,1
Cuba,6887,,128,,6245,North America,1
Curaçao,970,,1,,665,North America,1
Dominica,50,,,,33,North America,0
Dominican Republic,127018,,2245,,104862,North America,1
El Salvador,34015,189,979,4,29788,North America,1
Greenland,17,,,,16,North America,0
Grenada,28,,,,24,North America,0
Guadeloupe,7605,,126,,2242,North America,1
Guatemala,107939,,3729,,97289,North America,1
Haiti,9057,,232,,7429,North America,1
Honduras,97404,516,2672,3,40379,North America,1
Jamaica,9094,,206,,4510,North America,1
Martinique,3552,,30,,98,North America,1
Mexico,924962,6151,91753,464,677659,North America,1
Montserrat,13,,1,,12,North America,1
Nicaragua,5514,,156,,4225,North America,1
Panama,133598,,2700,,110552,North America,1
Saint Barthelemy,83,,,,67,North America,0
Saint Kitts and Nevis,19,,,,19,North America,0
Saint Lucia,78,,,,28,North America,0
Saint Martin,566,,9,,488,North America,1
Saint Pierre and Miquelon,16,,,,12,North America,0
Saint Vincent and the Grenadines,74,,,,70,North America,0
Trinidad and Tobago,5692,,108,,4610,North America,1
Turks and Caicos,704,1,6,,689,North America,1
USA,9404823,2233,236101,29,6062874,North America,0
