Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,1166924,,31002,,973939,South America,1
Bolivia,141757,126,8725,10,111503,South America,1
Brazil,5535605,,159902,,4972898,South America,1
Chile,511864,1608,14247,40,488166,South America,0
Colombia,1074184,,31314,,969230,South America,1
Ecuador,168192,,12670,,141759,South America,1
Falkland Islands,13,,,,13,South America,0
French Guiana,10536,,70,,9995,South America,1
Guyana,4162,,124,,3228,South America,1
Paraguay,63185,,1404,,42900,South America,1
Peru,902503,,34476,,825197,South America,1
Suriname,5203,,111,,5060,South America,1
Uruguay,3124,,58,,2560,South America,1
Venezuela,92013,,798,,86773,South America,1
