Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,6.067042572021866,,4.491389711929306,,5.988531756885798,South America,1
Bolivia,5.151544513676496,2.100370545117563,3.9407654356312176,1.0,5.047286552280309,South America,1
Brazil,6.743165092929797,,5.203853895788335,,6.696609551431812,South America,1
Chile,5.707788120201574,,4.152502380461126,,5.687209588320844,South America,1
Colombia,6.031078679259495,,4.495738547239104,,5.986426848132429,South America,1
Ecuador,5.22580533487163,,4.1027766148834415,,5.151550640942427,South America,1
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,0
French Guiana,4.022675761953727,,1.845098040014257,,3.999782798454136,South America,1
Guyana,3.6193020758756083,,2.093421685162235,,3.5089335260500327,South America,1
Paraguay,4.800613989826332,,3.1473671077937864,,4.632457292184724,South America,1
Peru,5.9554486542134635,,4.537516872039572,,5.916557640428339,South America,1
Suriname,3.7162538258960365,,2.0453229787866576,,3.7041505168397992,South America,1
Uruguay,3.494711025205263,,1.7634279935629373,,3.4082399653118496,South America,1
Venezuela,4.963849190708732,,2.9020028913507296,,4.93838461255983,South America,1
