Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,31459,,672,,15055,Europe,1
Andorra,6142,,76,,5239,Europe,1
Austria,235351,,2224,,156483,Europe,1
Belarus,120847,,1081,,100749,Europe,1
Belgium,553680,3416,15352,156,35281,Europe,1
Bosnia and Herzegovina,77994,,2209,,42916,Europe,1
Bulgaria,118418,,2778,,34388,Europe,1
Channel Islands,1080,,48,,869,Europe,1
Croatia,96837,,1257,,77387,Europe,1
Czechia,487563,,7021,,389873,Europe,1
Denmark,68362,,778,,53470,Europe,1
Estonia,9076,,87,,5296,Europe,1
Faroe Islands,498,,,,495,Europe,0
Finland,20747,,375,,15300,Europe,1
France,2109170,,48265,,149521,Europe,0
Germany,901659,,14076,,579100,Europe,1
Gibraltar,943,,3,,820,Europe,1
Greece,87812,,1419,,9989,Europe,0
Hungary,170298,4397,3689,121,40820,Europe,1
Iceland,5251,,26,,4993,Europe,1
Ireland,69802,,2018,,23364,Europe,1
Isle of Man,368,,25,,332,Europe,1
Italy,1345767,,48569,,520022,Europe,1
Latvia,12102,,146,,1557,Europe,1
Liechtenstein,1094,,8,,883,Europe,1
Lithuania,42757,,357,,10498,Europe,1
Luxembourg,29762,,260,,20014,Europe,1
Malta,8681,,108,,6406,Europe,1
Moldova,95383,,2111,,76880,Europe,1
Monaco,577,,3,,504,Europe,1
Montenegro,30079,,429,,18907,Europe,1
Netherlands,473190,,8822,,N/A,Europe,0
North Macedonia,52449,,1462,,30952,Europe,1
Norway,32014,,306,,20956,Europe,1
Poland,819262,,12714,,381800,Europe,1
Portugal,249498,,3762,,163000,Europe,1
Romania,403123,,9756,,278676,Europe,1
Russia,2064748,24822,35778,467,1577435,Europe,1
San Marino,1395,,43,,1082,Europe,1
Serbia,110351,,1140,,31536,Europe,1
Slovakia,93396,,614,,40816,Europe,1
Slovenia,62580,,995,,41691,Europe,1
Spain,1589219,,42619,,N/A,Europe,0
Sweden,208295,,6406,,N/A,Europe,0
Switzerland,290601,,3992,,180700,Europe,1
UK,1473508,,54286,,N/A,Europe,0
Ukraine,612665,14580,10813,215,282313,Europe,1
Vatican City,27,,,,15,Europe,0
