Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,40073,47,1485,4,33516,Asia,1
Albania,16212,,439,,9864,Europe,1
Algeria,53777,,1827,,37603,Africa,1
Andorra,3190,,59,,2011,Europe,1
Angola,7096,,228,,2928,Africa,1
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,112,,3,,100,North America,1
Argentina,949063,,25342,,764859,South America,1
Armenia,61460,1465,1056,10,47541,Asia,1
Aruba,4285,,32,,3910,North America,1
Australia,27371,9,904,,25062,Australia/Oceania,1
Austria,61387,1163,882,5,47618,Europe,1
Azerbaijan,43280,,619,,39671,Asia,1
Bahamas,5385,,112,,3178,North America,1
Bahrain,76954,,289,,73013,Asia,1
Bangladesh,386086,1527,5623,15,300738,Asia,1
Barbados,218,,7,,195,North America,1
Belarus,86392,658,921,5,78990,Europe,1
Belgium,191959,10448,10327,49,20720,Europe,1
Belize,2682,63,41,1,1612,North America,1
Benin,2496,,41,,2330,Africa,1
Bermuda,185,,9,,172,North America,1
Bhutan,316,,,,296,Asia,0
Bolivia,139319,178,8407,30,103499,South America,1
Bosnia and Herzegovina,32845,621,980,8,24603,Europe,0
Botswana,3914,,20,,905,Africa,1
Brazil,5170996,,152513,,4599446,South America,1
British Virgin Islands,71,,1,,70,North America,1
Brunei,147,,3,,143,Asia,0
Bulgaria,27507,,944,,16678,Europe,1
Burkina Faso,2335,,65,,1645,Africa,1
Burundi,529,,1,,497,Africa,1
Cabo Verde,7444,,79,,6348,Africa,1
Cambodia,283,,,,278,Asia,0
Cameroon,21441,,423,,20117,Africa,1
Canada,191732,,9699,,161490,North America,0
Caribbean Netherlands,150,,2,,111,North America,1
Cayman Islands,225,,1,,212,North America,1
Central African Republic,4855,,62,,1924,Africa,1
Chad,1350,,92,,1120,Africa,1
Channel Islands,748,,48,,648,Europe,1
Chile,486496,,13434,,459536,South America,1
China,85646,24,4634,,80759,Asia,1
Colombia,936982,,28457,,826831,South America,1
Comoros,496,,7,,484,Africa,1
Costa Rica,93152,,1159,,57731,North America,1
Croatia,23665,1131,345,1,19087,Europe,1
Cuba,6062,,123,,5678,North America,1
Curaçao,673,,1,,371,North America,1
Cyprus,2285,,25,,1444,Asia,1
Czechia,149010,,1230,,63350,Europe,1
DR Congo,10935,,281,,10306,Africa,1
Denmark,34023,,677,,28118,Europe,1
Djibouti,5443,,61,,5368,Africa,1
Dominica,33,,,,29,North America,0
Dominican Republic,120066,,2189,,96152,North America,1
Ecuador,150360,,12306,,128134,South America,1
Egypt,105033,,6088,,98011,Africa,1
El Salvador,31265,204,912,4,26542,North America,1
Equatorial Guinea,5068,,83,,4954,Africa,1
Eritrea,422,,,,376,Africa,0
Estonia,4017,37,68,,3137,Europe,1
Eswatini,5733,,115,,5375,Africa,1
Ethiopia,87169,,1325,,40988,Africa,1
Falkland Islands,13,,,,13,South America,0
Faroe Islands,482,2,,,471,Europe,0
Fiji,32,,2,,30,Australia/Oceania,1
Finland,13133,189,351,1,9100,Europe,0
France,809684,,33125,,104082,Europe,0
French Guiana,10233,,69,,9894,South America,1
French Polynesia,3573,,13,,2487,Australia/Oceania,1
Gabon,8869,,54,,8395,Africa,1
Gambia,3644,,118,,2646,Africa,1
Georgia,15327,887,124,11,7613,Asia,1
Germany,349639,823,9816,6,284600,Europe,1
Ghana,47173,,310,,46527,Africa,1
Gibraltar,544,13,,,441,Europe,0
Greece,23947,,482,,9989,Europe,1
Greenland,16,,,,14,North America,0
Grenada,25,,,,24,North America,0
Guadeloupe,6908,,96,,2199,North America,1
Guatemala,99765,,3453,,88931,North America,1
Guinea,11327,72,70,,10380,Africa,1
Guinea-Bissau,2389,,41,,1782,Africa,1
Guyana,3620,,107,,2522,South America,1
Haiti,8925,,231,,7182,North America,1
Honduras,86089,631,2552,19,34099,North America,1
Hong Kong,5221,7,105,,4951,Asia,1
Hungary,43025,1293,1085,33,13134,Europe,1
Iceland,3929,92,10,,2713,Europe,0
India,7372394,6885,112214,68,6453054,Asia,1
Indonesia,353461,4301,12347,79,277544,Asia,1
Iran,522387,4552,29870,265,420910,Asia,1
Iraq,416802,,10086,,350752,Asia,1
Ireland,46429,,1838,,23364,Europe,1
Isle of Man,348,,24,,319,Europe,1
Israel,301389,1188,2139,12,261128,Asia,1
Italy,381602,,36372,,245964,Europe,1
Ivory Coast,20257,,120,,19898,Africa,1
Jamaica,8067,,160,,3481,North America,1
Japan,90710,,1646,,83837,Asia,1
Jordan,33009,,282,,6565,Asia,1
Kazakhstan,109202,108,1768,,104801,Asia,1
Kenya,43143,,805,,31508,Africa,1
Kuwait,114015,,684,,105846,Asia,1
Kyrgyzstan,51020,431,1103,4,45288,Asia,1
Laos,23,,,,22,Asia,0
Latvia,3204,148,42,1,1329,Europe,1
Lebanon,58745,,501,,25994,Asia,1
Lesotho,1833,,42,,961,Africa,1
Liberia,1374,,82,,1254,Africa,1
Libya,47845,1169,699,18,26062,Africa,1
Liechtenstein,192,9,1,,132,Europe,1
Lithuania,7041,281,112,2,3035,Europe,1
Luxembourg,10244,,133,,8384,Europe,1
Macao,46,,,,46,Asia,0
Madagascar,16754,,237,,16124,Africa,1
Malawi,5836,,181,,4728,Africa,1
Malaysia,18758,629,176,6,12259,Asia,1
Maldives,11113,,35,,9931,Asia,1
Mali,3368,,132,,2559,Africa,1
Malta,4282,122,45,,3142,Europe,1
Martinique,2257,,24,,98,North America,1
Mauritania,7585,,163,,7326,Africa,1
Mauritius,415,,10,,364,Africa,1
Mayotte,4030,,43,,2964,Africa,1
Mexico,834910,5514,85285,387,608188,North America,1
Moldova,65076,,1530,,46010,Europe,1
Monaco,253,,2,,217,Europe,1
Mongolia,320,,,,311,Asia,0
Montenegro,14672,,221,,10355,Europe,1
Montserrat,13,,1,,12,North America,1
Morocco,163650,,2772,,136036,Africa,1
Mozambique,10537,,73,,8214,Africa,1
Myanmar,32351,,765,,14706,Asia,1
Namibia,12103,,130,,10329,Africa,1
Nepal,126137,4392,715,21,88040,Asia,1
Netherlands,203954,,6692,,N/A,Europe,0
New Caledonia,27,,,,27,Australia/Oceania,0
New Zealand,1880,4,25,,1809,Australia/Oceania,1
Nicaragua,5353,,154,,4225,North America,1
Niger,1207,,69,,1124,Africa,1
Nigeria,60982,,1116,,52194,Africa,1
North Macedonia,22170,,815,,16758,Europe,1
Norway,16137,,278,,11863,Europe,1
Oman,108296,,1071,,94229,Asia,1
Pakistan,321877,659,6621,7,305835,Asia,1
Palestine,46100,,401,,39585,Asia,1
Panama,122883,,2529,,98671,North America,1
Papua New Guinea,578,,7,,537,Australia/Oceania,1
Paraguay,52596,,1150,,34427,South America,1
Peru,859740,,33577,,764750,South America,1
Philippines,351750,3139,6531,34,294865,Asia,1
Poland,157608,7705,3440,132,87773,Europe,1
Portugal,93294,,2128,,55081,Europe,1
Qatar,128803,,222,,125802,Asia,1
Romania,172516,4026,5749,75,127076,Europe,1
Russia,1369313,15150,23723,232,1056582,Europe,1
Rwanda,4953,,33,,4601,Africa,1
Réunion,4678,,17,,3994,Africa,1
Saint Barthelemy,67,,,,55,North America,0
Saint Kitts and Nevis,19,,,,19,North America,0
Saint Lucia,31,,,,27,North America,0
Saint Martin,501,,8,,380,North America,1
Saint Pierre and Miquelon,16,,,,12,North America,0
Saint Vincent and the Grenadines,64,,,,64,North America,0
San Marino,759,,42,,685,Europe,1
Saudi Arabia,341062,,5127,,327327,Asia,1
Senegal,15368,20,317,1,13704,Africa,1
Serbia,35454,,770,,31536,Europe,1
Seychelles,149,1,,,148,Africa,0
Sierra Leone,2323,,73,,1746,Africa,1
Singapore,57901,9,28,,57764,Asia,1
Slovakia,26300,2075,71,,7182,Europe,1
Slovenia,10683,,176,,5689,Europe,1
Solomon Islands,3,,,,,Australia/Oceania,0
Somalia,3864,,99,,3089,Africa,1
South Africa,698184,,18309,,628301,Africa,1
South Korea,25035,47,441,2,23180,Asia,1
South Sudan,2807,,55,,1290,Africa,1
Spain,972958,,33553,,N/A,Europe,0
Sri Lanka,5244,,13,,3385,Asia,1
Sudan,13691,,836,,6764,Africa,1
Suriname,5094,,109,,4907,South America,1
Sweden,102407,,5910,,N/A,Europe,0
Switzerland,74422,3105,2120,5,50500,Europe,1
Syria,4931,,238,,1425,Asia,1
São Tomé and Príncipe,929,,15,,896,Africa,1
Taiwan,535,4,7,,491,Asia,1
Tajikistan,10374,,80,,9317,Asia,1
Tanzania,509,,21,,183,Africa,1
Thailand,3669,4,59,,3467,Asia,1
Timor-Leste,29,,,,28,Asia,0
Togo,1996,,51,,1489,Africa,1
Trinidad and Tobago,5194,,93,,3502,North America,1
Tunisia,34790,,512,,5032,Africa,1
Turkey,342143,,9080,,299679,Asia,1
Turks and Caicos,696,,6,,673,North America,1
UAE,112849,1412,455,3,104943,Asia,1
UK,673622,,43293,,N/A,Europe,0
USA,8219792,3477,222781,64,5320745,North America,0
Uganda,10334,217,96,,6901,Africa,0
Ukraine,287231,5992,5408,106,121919,Europe,1
Uruguay,2417,,51,,2025,South America,1
Uzbekistan,62484,206,519,1,59429,Asia,1
Vatican City,26,,,,12,Europe,0
Venezuela,85469,,720,,77689,South America,1
Vietnam,1124,,35,,1030,Asia,1
Western Sahara,10,,1,,8,Africa,1
Yemen,2053,,596,,1329,Asia,1
Zambia,15659,,346,,14899,Africa,1
Zimbabwe,8075,,231,,7669,Africa,1
World,39244682,98565,1104029,1727,28930377,,0
