Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.602851856400141,1.6720978579357175,3.171726453653231,0.6020599913279624,4.5252521817486295,Asia,1
Albania,4.209836595069655,,2.6424645202421213,,3.994053063587675,Europe,1
Algeria,4.730596571041126,,3.2617385473525378,,4.575222494700846,Africa,1
Andorra,3.503790683057181,,1.7708520116421442,,3.303412070596742,Europe,1
Angola,3.85101360682367,,2.357934847000454,,3.4665710723863543,Africa,1
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,2.0492180226701815,,0.47712125471966244,,2.0,North America,1
Argentina,5.977295042400133,,4.4038408865808965,,5.883581381341964,South America,1
Armenia,4.788592555920359,3.1658376246901283,3.0236639181977933,1.0,4.677068312644881,Asia,1
Aruba,3.631950826259217,,1.505149978319906,,3.5921767573958667,North America,1
Australia,4.4372906646570485,0.9542425094393249,2.9561684304753633,,4.3990157256487645,Australia/Oceania,1
Austria,4.7880764098051,3.0655797147284485,2.94546858513182,0.6989700043360189,4.6777711506823785,Europe,1
Azerbaijan,4.636287252098513,,2.791690649020118,,4.59847314801658,Asia,1
Bahamas,3.7311857076340003,,2.0492180226701815,,3.5021538928713607,North America,1
Bahrain,4.886231198992427,,2.4608978427565478,,4.86340019334804,Asia,1
Bangladesh,5.586684053804878,3.1838390370564214,3.749968083509403,1.1760912590556813,5.478188307208037,Asia,1
Barbados,2.3384564936046046,,0.8450980400142568,,2.290034611362518,North America,1
Belarus,4.936473528165063,2.8182258936139557,2.964259630196849,0.6989700043360189,4.89757211382573,Europe,1
Belgium,5.2832084788327265,4.019033163930999,4.013974177020916,1.6901960800285136,4.316389751073196,Europe,1
Belize,3.42845877351558,1.7993405494535817,1.6127838567197355,0.0,3.2073650374690716,North America,1
Benin,3.397244581010386,,1.6127838567197355,,3.367355921026019,Africa,1
Bermuda,2.2671717284030137,,0.9542425094393249,,2.2355284469075487,North America,1
Bhutan,2.499687082618404,,,,2.4712917110589387,Asia,0
Bolivia,5.144010348530668,2.250420002308894,3.924641047417163,1.4771212547196624,5.014936153690715,South America,1
Bosnia and Herzegovina,4.516469266203777,2.79309160017658,2.9912260756924947,0.9030899869919435,4.390988066615901,Europe,1
Botswana,3.5926208213219826,,1.3010299956639813,,2.9566485792052033,Africa,1
Brazil,6.713574201825716,,5.183306863929602,,6.6627055243701845,South America,1
British Virgin Islands,1.8512583487190752,,0.0,,1.845098040014257,North America,1
Brunei,2.167317334748176,,0.47712125471966244,,2.155336037465062,Asia,0
Bulgaria,4.439443227449247,,2.974971994298069,,4.222143969500662,Europe,1
Burkina Faso,3.368286884902131,,1.8129133566428555,,3.216165902285993,Africa,1
Burundi,2.7234556720351857,,0.0,,2.696356388733332,Africa,1
Cabo Verde,3.8718063644587293,,1.8976270912904414,,3.802636918082811,Africa,1
Cambodia,2.45178643552429,,,,2.444044795918076,Asia,0
Cameroon,4.33124503682083,,2.6263403673750423,,4.303563215917248,Africa,1
Canada,5.282694602516138,,3.9867269593312185,,5.2081456345353505,North America,0
Caribbean Netherlands,2.1760912590556813,,0.3010299956639812,,2.0453229787866576,North America,1
Cayman Islands,2.3521825181113627,,0.0,,2.326335860928751,North America,1
Central African Republic,3.6861892342440234,,1.792391689498254,,3.284205067701794,Africa,1
Chad,3.130333768495006,,1.9637878273455553,,3.0492180226701815,Africa,1
Channel Islands,2.8739015978644615,,1.6812412373755872,,2.8115750058705933,Europe,1
Chile,5.687079273823139,,4.128205343962674,,5.662319539637094,South America,1
China,4.932707084540368,1.380211241711606,3.6659560294539566,,4.907190932644426,Asia,1
Colombia,5.971731247904041,,4.454189113874769,,5.917416751066708,South America,1
Comoros,2.6954816764901977,,0.8450980400142568,,2.6848453616444123,Africa,1
Costa Rica,4.969192183758717,,3.064083435963596,,4.761409080289563,North America,1
Croatia,4.3741065088040125,3.053462604925455,2.537819095073274,0.0,4.280737673504682,Europe,1
Cuba,3.7826159320316033,,2.089905111439398,,3.7541953881898382,North America,1
Curaçao,2.828015064223977,,0.0,,2.569373909615046,North America,1
Cyprus,3.358886204405869,,1.3979400086720377,,3.1595671932336202,Asia,1
Czechia,5.173215414714885,,3.089905111439398,,4.80174661921946,Europe,1
DR Congo,4.038818787373656,,2.44870631990508,,4.013090138125056,Africa,1
Denmark,4.531772605161404,,2.8305886686851442,,4.4489844265948015,Europe,1
Djibouti,3.735838334317074,,1.7853298350107671,,3.729812507160936,Africa,1
Dominica,1.5185139398778875,,,,1.462397997898956,North America,0
Dominican Republic,5.079420042349707,,3.3402457615679317,,4.982958322167117,North America,1
Ecuador,5.1771323170417745,,4.09011691075201,,5.107664383867647,South America,1
Egypt,5.021325770177057,,3.7844746437625165,,4.991274820296685,Africa,1
El Salvador,4.495058433016688,2.3096301674258988,2.959994838328416,0.6020599913279624,4.423933644837305,North America,1
Equatorial Guinea,3.7048366062114035,,1.919078092376074,,3.694956002249818,Africa,1
