Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,112,,3,,100,North America,1
Aruba,4285,,32,,3910,North America,1
Bahamas,5385,,112,,3178,North America,1
Barbados,218,,7,,195,North America,1
Belize,2682,63,41,1,1612,North America,1
Bermuda,185,,9,,172,North America,1
British Virgin Islands,71,,1,,70,North America,1
Canada,191732,,9699,,161490,North America,0
Caribbean Netherlands,150,,2,,111,North America,1
Cayman Islands,225,,1,,212,North America,1
Costa Rica,93152,,1159,,57731,North America,1
Cuba,6062,,123,,5678,North America,1
Curaçao,673,,1,,371,North America,1
Dominica,33,,,,29,North America,0
Dominican Republic,120066,,2189,,96152,North America,1
El Salvador,31265,204,912,4,26542,North America,1
Greenland,16,,,,14,North America,0
Grenada,25,,,,24,North America,0
Guadeloupe,6908,,96,,2199,North America,1
Guatemala,99765,,3453,,88931,North America,1
Haiti,8925,,231,,7182,North America,1
Honduras,86089,631,2552,19,34099,North America,1
Jamaica,8067,,160,,3481,North America,1
Martinique,2257,,24,,98,North America,1
Mexico,834910,5514,85285,387,608188,North America,1
Montserrat,13,,1,,12,North America,1
Nicaragua,5353,,154,,4225,North America,1
Panama,122883,,2529,,98671,North America,1
Saint Barthelemy,67,,,,55,North America,0
Saint Kitts and Nevis,19,,,,19,North America,0
Saint Lucia,31,,,,27,North America,0
Saint Martin,501,,8,,380,North America,1
Saint Pierre and Miquelon,16,,,,12,North America,0
Saint Vincent and the Grenadines,64,,,,64,North America,0
Trinidad and Tobago,5194,,93,,3502,North America,1
Turks and Caicos,696,,6,,673,North America,1
USA,8219123,2808,222754,37,5320386,North America,0
