Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,949063,,25342,,764859,South America,1
Bolivia,139319,178,8407,30,103499,South America,1
Brazil,5170996,,152513,,4599446,South America,1
Chile,486496,,13434,,459536,South America,1
Colombia,936982,,28457,,826831,South America,1
Ecuador,150360,,12306,,128134,South America,1
Falkland Islands,13,,,,13,South America,0
French Guiana,10233,,69,,9894,South America,1
Guyana,3620,,107,,2522,South America,1
Paraguay,52596,,1150,,34427,South America,1
Peru,859740,,33577,,764750,South America,1
Suriname,5094,,109,,4907,South America,1
Uruguay,2417,,51,,2025,South America,1
Venezuela,85469,,720,,77689,South America,1
