Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,18250,,465,,10395,Europe,1
Andorra,3811,,63,,2470,Europe,1
Austria,74415,2571,954,13,55195,Europe,1
Belarus,91167,787,945,,82136,Europe,0
Belgium,270132,16746,10588,49,22213,Europe,1
Bosnia and Herzegovina,38493,1179,1065,14,26260,Europe,0
Bulgaria,34930,,1064,,17833,Europe,1
Channel Islands,787,3,48,,659,Europe,1
Croatia,31717,1867,413,7,22910,Europe,1
Czechia,223065,,1845,,87225,Europe,1
Denmark,38622,859,697,3,31295,Europe,1
Estonia,4300,53,73,2,3418,Europe,1
Faroe Islands,490,,,,473,Europe,0
Finland,14474,219,353,,9800,Europe,0
France,999043,,34210,,108599,Europe,0
Germany,409772,5898,10059,15,310200,Europe,0
Gibraltar,641,11,,,500,Europe,0
Greece,28216,,549,,9989,Europe,1
Hungary,54278,2066,1352,47,15655,Europe,1
Iceland,4308,40,11,,3187,Europe,1
Ireland,54476,,1871,,23364,Europe,1
Isle of Man,348,,24,,321,Europe,1
Italy,465726,,36968,,259456,Europe,1
Latvia,4208,250,50,1,1357,Europe,1
Liechtenstein,324,42,1,,170,Europe,1
Lithuania,9104,442,126,1,3978,Europe,1
Luxembourg,12333,,140,,8474,Europe,1
Malta,5258,121,49,,3439,Europe,1
Moldova,69568,,1641,,50422,Europe,1
Monaco,281,,2,,233,Europe,1
Montenegro,16259,,253,,12093,Europe,1
Netherlands,272401,9996,6964,45,N/A,Europe,0
North Macedonia,25473,,874,,18047,Europe,1
Norway,17234,,279,,11863,Europe,1
Poland,228318,13632,4172,153,105092,Europe,1
Portugal,109541,,2245,,64531,Europe,1
Romania,201032,5028,6245,82,144429,Europe,1
Russia,1480646,17340,25525,283,1119251,Europe,1
San Marino,802,,42,,711,Europe,1
Serbia,37536,,783,,31536,Europe,1
Slovakia,37911,2581,134,19,8859,Europe,1
Slovenia,19307,1656,214,3,7659,Europe,1
Spain,1090521,,34521,,N/A,Europe,0
Sweden,110594,,5933,7,N/A,Europe,0
Switzerland,103653,6634,2057,5,55800,Europe,1
UK,810467,,44347,,N/A,Europe,0
Ukraine,330396,7517,6164,121,137578,Europe,1
Vatican City,27,,,,15,Europe,0
