Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,4.749295615434781,,3.281941933440825,,4.592121217465885,Africa,1
Angola,3.9722491359625955,,2.428134794028789,,3.5450595846940027,Africa,1
Benin,3.4077307280263356,,1.6127838567197355,,3.367355921026019,Africa,1
Botswana,3.7725417326409434,,1.3222192947339193,,2.967079734144497,Africa,1
Burkina Faso,3.389343311252078,,1.8129133566428555,,3.305136318943639,Africa,1
Burundi,2.745855195173729,,0.0,,2.708420900134713,Africa,1
Cabo Verde,3.9240724299103626,,1.9731278535996986,,3.862429556106009,Africa,1
Cameroon,4.333850145102545,,2.6283889300503116,,4.303563215917248,Africa,1
Central African Republic,3.6868149545073168,,1.792391689498254,,3.284205067701794,Africa,1
Chad,3.157456768134226,,1.9822712330395684,,3.1031192535457137,Africa,1
Comoros,2.7134905430939424,,0.8450980400142568,,2.693726948923647,Africa,1
DR Congo,4.047002130518505,,2.484299839346786,,4.019822224167774,Africa,1
Djibouti,3.7431960814487013,,1.7853298350107671,,3.732554579851432,Africa,1
Egypt,5.027512692448811,,3.7923216363515735,,4.995209465143039,Africa,1
Equatorial Guinea,3.705778212828598,,1.919078092376074,,3.6956567599361905,Africa,1
Eritrea,2.663700925389648,,,,2.6074550232146687,Africa,0
Eswatini,3.7674527180977733,,2.0644579892269186,,3.7405205860536648,Africa,1
Ethiopia,4.970081754793282,,3.154119525515847,,4.677086582573869,Africa,1
Gabon,3.9503161639246,,1.7323937598229686,,3.930031614950973,Africa,1
Gambia,3.5634810853944106,,2.0755469613925306,,3.424881636631067,Africa,1
Ghana,4.678427322433867,,2.499687082618404,,4.671052445894609,Africa,1
Guinea,4.065766387622749,,1.8512583487190752,,4.020112569565467,Africa,1
Guinea-Bissau,3.3807537708039,,1.6127838567197355,,3.2595938788859486,Africa,1
Ivory Coast,4.311117842662505,,2.0863598306747484,,4.304619762853121,Africa,1
Kenya,4.6965398546863115,,2.9552065375419416,,4.534140379042428,Africa,1
Lesotho,3.287801729930226,,1.6334684555795864,,2.9867717342662448,Africa,1
Liberia,3.1439511164239633,,1.9138138523837167,,3.1065308538223815,Africa,1
Libya,4.7575706225935415,3.0827853703164503,2.9036325160842376,0.7781512503836436,4.498517311461634,Africa,1
Madagascar,4.2296306555085055,,2.387389826338729,,4.212214247419942,Africa,1
Malawi,3.7701152947871015,,2.2624510897304293,,3.723537761532057,Africa,1
Mali,3.5428254269591797,,2.12057393120585,,3.425044874551389,Africa,1
Mauritania,3.884455496070488,,2.2121876044039577,,3.8683504996479683,Africa,1
Mauritius,2.6384892569546374,,1.0,,2.586587304671755,Africa,1
Mayotte,3.6310376965367404,,1.6434526764861874,,3.4718781993072905,Africa,1
Morocco,5.29552531772403,,3.5186455243303114,,5.21270684862327,Africa,1
Mozambique,4.078674273360466,,1.9344984512435677,,3.9662825621674633,Africa,1
Namibia,4.102433705681336,,2.123851640967086,,4.032578471924312,Africa,1
Niger,3.084576277934331,,1.8388490907372552,,3.0523090996473234,Africa,1
Nigeria,4.792335647884923,,3.0530784434834195,,4.759403411038759,Africa,1
Rwanda,3.704665185454529,,1.5314789170422551,,3.683947130751512,Africa,1
Réunion,3.7117228918272347,,1.3010299956639813,,3.6655809910179533,Africa,1
Senegal,4.192149125018534,1.146128035678238,2.507855871695831,0.0,4.155821689717967,Africa,1
Seychelles,2.184691430817599,,,,2.173186268412274,Africa,0
Sierra Leone,3.3703280077795106,,1.8692317197309762,,3.252124552505644,Africa,1
Somalia,3.595606434865603,,2.0170333392987803,,3.503109436671369,Africa,1
South Africa,5.854832949463468,,4.278021540970132,,5.810346790981377,Africa,1
South Sudan,3.459844642388208,,1.7481880270062005,,3.110589710299249,Africa,1
Sudan,4.13804994420489,,2.92272545799326,,3.830203598925704,Africa,1
São Tomé and Príncipe,2.9731278535996988,,1.1760912590556813,,2.9552065375419416,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.342422680822206,,1.7160033436347992,,3.2041199826559246,Africa,1
Tunisia,4.719322998842009,3.151676230847048,2.9925535178321354,1.7634279935629373,3.7017406324372124,Africa,1
Uganda,4.06284511327705,2.0569048513364727,2.0043213737826426,,3.8663464227496016,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.207284205912198,,2.5415792439465807,,4.1812431609674094,Africa,1
Zimbabwe,3.917820481993697,,2.374748346010104,,3.891927534220675,Africa,1
