Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,6.042300201402816,,4.466882442438441,,5.958843767236475,South America,1
Bolivia,5.149071242554563,1.99563519459755,3.937417581477138,1.1139433523068367,5.03833398165401,South America,1
Brazil,6.733321675463968,,5.197145423264736,,6.68716585699258,South America,1
Chile,5.702083996672742,,4.14622108881188,,5.681129935153393,South America,1
Colombia,6.010745897333464,,4.482130075392029,,5.965692651417339,South America,1
Ecuador,5.209991940339863,,4.099438915553507,,5.151550640942427,South America,1
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,0
French Guiana,4.016406500871118,,1.8388490907372552,,3.999782798454136,South America,1
Guyana,3.604873770552636,,2.0755469613925306,,3.4784221877400805,South America,1
Paraguay,4.778939502912978,,3.1248301494138593,,4.604733513722452,South America,1
Peru,5.949670011903046,,4.5339880083779756,,5.9090181766783525,South America,1
Suriname,3.714329759745233,,2.041392685158225,,3.702171950857711,South America,1
Uruguay,3.4581844355702627,,1.7323937598229686,,3.382197210377454,South America,1
Venezuela,4.9544692484698345,,2.890421018800914,,4.92656879707502,South America,1
