Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,56706,,1931,,39444,Africa,1
Angola,9871,,271,,3647,Africa,1
Benin,2557,,41,,2330,Africa,1
Botswana,6283,,21,,4438,Africa,1
Burkina Faso,2466,,67,,2181,Africa,1
Burundi,558,,1,,511,Africa,1
Cabo Verde,8472,,94,,7599,Africa,1
Cameroon,21793,,426,,20117,Africa,1
Central African Republic,4863,,62,,1924,Africa,1
Chad,1460,,96,,1290,Africa,1
Comoros,517,,7,,494,Africa,1
DR Congo,11191,,305,,10509,Africa,1
Djibouti,5544,,61,,5421,Africa,1
Egypt,106877,,6222,,99084,Africa,1
Equatorial Guinea,5083,,83,,4964,Africa,1
Eritrea,461,,,,405,Africa,0
Eswatini,5875,,116,,5524,Africa,1
Ethiopia,94218,,1445,,48968,Africa,1
Gabon,8937,,54,,8548,Africa,1
Gambia,3666,,119,,2666,Africa,1
Ghana,47775,,316,,46971,Africa,1
Guinea,11819,,71,,10505,Africa,1
Guinea-Bissau,2403,,41,,1818,Africa,1
Ivory Coast,20488,,122,,20229,Africa,1
Kenya,50833,,934,,34832,Africa,1
Lesotho,1947,,43,,975,Africa,1
Liberia,1419,,82,,1278,Africa,1
Libya,58874,899,823,11,32962,Africa,1
Madagascar,16968,,244,,16301,Africa,1
Malawi,5897,,183,,5299,Africa,1
Mali,3515,,136,,2665,Africa,1
Mauritania,7680,,163,,7392,Africa,1
Mauritius,439,,10,,389,Africa,1
Mayotte,4321,,44,,2964,Africa,1
Morocco,203733,,3445,,168706,Africa,1
Mozambique,12273,,89,,9282,Africa,1
Namibia,12729,,133,,10878,Africa,1
Niger,1218,,69,,1132,Africa,1
Nigeria,62224,,1135,,57916,Africa,1
Rwanda,5084,,35,,4851,Africa,1
Réunion,5361,,20,,4630,Africa,1
Senegal,15582,11,322,,14565,Africa,1
Seychelles,153,,,,149,Africa,0
Sierra Leone,2350,,74,,1790,Africa,1
Somalia,3941,,104,,3185,Africa,1
South Africa,717851,,19053,,647833,Africa,1
South Sudan,2890,,56,,1290,Africa,1
Sudan,13747,,837,,6764,Africa,1
São Tomé and Príncipe,941,,15,,902,Africa,1
Tanzania,509,,21,,183,Africa,1
Togo,2229,,54,,1612,Africa,1
Tunisia,52399,,983,,5032,Africa,1
Uganda,11767,146,106,3,7461,Africa,1
Western Sahara,10,,1,,8,Africa,1
Zambia,16243,,348,,15481,Africa,1
Zimbabwe,8315,,242,,7804,Africa,1
