Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,0
Antigua and Barbuda,2.103803720955957,0.47712125471966244,0.47712125471966244,,2.0644579892269186,North America,1
Aruba,3.650501794878367,,1.568201724066995,,3.63205216670581,North America,1
Bahamas,3.8224296237793567,1.568201724066995,2.1522883443830563,0.6020599913279624,3.6291036501771363,North America,0
Barbados,2.369215857410143,,0.8450980400142568,,2.3364597338485296,North America,1
Belize,3.529173603261723,2.0827853703164503,1.7481880270062005,0.6020599913279624,3.327767489902729,North America,1
Bermuda,2.296665190261531,,0.9542425094393249,,2.24551266781415,North America,1
British Virgin Islands,1.8512583487190752,,0.0,,1.845098040014257,North America,1
Canada,5.358966023627259,,4.003201946521693,,5.281508330190854,North America,0
Caribbean Netherlands,2.184691430817599,,0.47712125471966244,,2.161368002234975,North America,1
Cayman Islands,2.3783979009481375,,0.0,,2.3384564936046046,North America,1
Costa Rica,5.031691168625146,,3.132579847659737,,4.817340562338515,North America,1
Cuba,3.8303319934519617,,2.1072099696478683,,3.7876021461823375,North America,1
Curaçao,2.974971994298069,,0.0,,2.808210972924222,North America,1
Dominica,1.5797835966168101,,,,1.462397997898956,North America,0
Dominican Republic,5.1000705715439265,,3.34908316877959,,5.016799425441448,North America,1
El Salvador,4.524331200288652,,2.9872192299080047,0.6020599913279624,4.4651745781341585,North America,1
Greenland,1.2304489213782739,,,,1.2041199826559248,North America,0
Grenada,1.4471580313422192,,,,1.380211241711606,North America,0
Guadeloupe,3.8810992183890174,,2.100370545117563,,3.3506356082589543,North America,1
Guatemala,5.028530586511328,,3.5686709780098966,,4.98311637962852,North America,1
Haiti,3.95698436774276,,2.3654879848909,,3.8709303583486956,North America,1
Honduras,4.982949288574499,2.978180516937414,3.425044874551389,0.9542425094393249,4.599926717567107,North America,1
Jamaica,3.9507055347738613,,2.305351369446624,,3.6463056802847587,North America,1
Martinique,3.5504729571065634,,1.4771212547196624,,1.9912260756924949,North America,1
Mexico,5.960380864988726,3.7743709598499167,4.957956688887243,2.6665179805548807,5.825209890462431,North America,1
Montserrat,1.1139433523068367,,0.0,,1.0791812460476249,North America,1
Nicaragua,3.741466761769755,,2.1931245983544616,,3.625826713285711,North America,1
Panama,5.120721960911959,,3.42781057267599,,5.034796848428096,North America,1
Saint Barthelemy,1.919078092376074,,,,1.8260748027008264,North America,0
Saint Kitts and Nevis,1.2787536009528289,,,,1.2787536009528289,North America,0
Saint Lucia,1.8808135922807914,,,,1.4313637641589874,North America,0
Saint Martin,2.7528164311882715,,0.9542425094393249,,2.6884198220027105,North America,1
Saint Pierre and Miquelon,1.2041199826559248,,,,1.0791812460476249,North America,0
Saint Vincent and the Grenadines,1.8692317197309762,,,,1.845098040014257,North America,0
Trinidad and Tobago,3.750970984437319,,2.0293837776852097,,3.6327608884794387,North America,1
Turks and Caicos,2.846955325019824,,0.7781512503836436,,2.8382192219076257,North America,1
USA,6.964751080893551,3.884285462339675,5.369831599200773,2.1903316981702914,6.777079900806613,North America,0
