Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,41425,91,1536,3,34321,Asia,1
Armenia,87432,,1300,,54316,Asia,1
Azerbaijan,54174,,718,,42996,Asia,1
Bahrain,81466,,319,,78365,Asia,1
Bangladesh,406364,,5905,,322703,Asia,1
Bhutan,348,2,,,319,Asia,0
Brunei,148,,3,,143,Asia,0
Cambodia,291,,,,283,Asia,0
China,85973,33,4634,,80984,Asia,1
Cyprus,4217,,25,,1882,Asia,1
Georgia,38936,1673,307,22,22691,Asia,1
Hong Kong,5321,,105,,5082,Asia,1
India,8137119,953,121681,,7432829,Asia,1
Indonesia,406945,,13782,,334295,Asia,1
Iran,604952,,34478,,477300,Asia,1
Iraq,470633,,10862,,397241,Asia,1
Israel,313701,,2514,,299822,Asia,1
Japan,99622,,1744,,91890,Asia,1
Jordan,69306,,772,,7600,Asia,1
Kazakhstan,111953,461,1825,,106310,Asia,1
Kuwait,125337,,773,,116202,Asia,1
Kyrgyzstan,58394,,1142,,49522,Asia,1
Laos,24,,,,22,Asia,0
Lebanon,79529,,625,,40352,Asia,1
Macao,46,,,,46,Asia,0
Malaysia,30889,,249,,20248,Asia,1
Maldives,11643,,37,,10779,Asia,1
Mongolia,346,6,,,313,Asia,0
Myanmar,51496,,1219,,31330,Asia,1
Nepal,168235,,920,,128958,Asia,1
Oman,114434,,1208,,103060,Asia,1
Pakistan,332993,807,6806,11,314066,Asia,1
Palestine,53075,,481,,45896,Asia,1
Philippines,378933,,7185,,330457,Asia,1
Qatar,132343,,232,,129349,Asia,1
Saudi Arabia,346880,,5383,,333409,Asia,1
Singapore,58015,12,28,,57909,Asia,1
South Korea,26511,126,464,1,24311,Asia,1
Sri Lanka,10424,,19,,4282,Asia,1
Syria,5683,,285,,1937,Asia,1
Taiwan,555,1,7,,515,Asia,1
Tajikistan,10977,,82,,10182,Asia,1
Thailand,3780,5,59,,3590,Asia,1
Timor-Leste,30,,,,29,Asia,0
Turkey,373154,,10177,,322465,Asia,1
UAE,131508,,490,,127607,Asia,1
Uzbekistan,66628,,563,,63864,Asia,1
Vietnam,1177,,35,,1062,Asia,1
Yemen,2062,,599,,1366,Asia,1
