Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,305,,,,269,North America,0
Antigua and Barbuda,1974,,47,,1390,North America,1
Aruba,14991,36,154,1,14393,North America,0
Bahamas,19139,104,453,,15172,North America,0
Barbados,5651,78,51,,4964,North America,0
Belize,17405,154,373,4,15651,North America,0
Bermuda,3273,,35,,2766,North America,1
British Virgin Islands,2642,,37,,2555,North America,1
Canada,1533489,4189,27134,28,1468207,North America,0
Caribbean Netherlands,1895,10,17,,1754,North America,0
Cayman Islands,723,4,2,,682,North America,0
Costa Rica,486959,2975,5721,19,391285,North America,0
Cuba,720739,7747,6056,89,675413,North America,0
Curaçao,15596,46,153,2,15120,North America,0
Dominica,2175,,6,,1675,North America,1
Dominican Republic,352441,240,4014,1,343403,North America,0
El Salvador,98122,,2995,9,82485,North America,0
Greenland,377,,,,309,North America,0
Grenada,1748,,14,,328,North America,1
Guadeloupe,51467,2086,539,,2250,North America,0
Guatemala,497690,,12468,,437552,North America,1
Haiti,21162,,588,,18749,North America,1
Honduras,348894,1383,9224,45,107772,North America,0
Jamaica,74007,511,1685,19,49231,North America,0
Martinique,38868,,509,,104,North America,1
Mexico,3465171,15876,265420,879,2809029,North America,0
Montserrat,31,,1,,24,North America,1
Nicaragua,12350,,201,,4225,North America,1
Panama,460829,,7104,,448045,North America,1
Saint Barthelemy,1542,8,2,,462,North America,0
Saint Kitts and Nevis,1310,,5,,739,North America,1
Saint Lucia,9327,,128,,6885,North America,1
Saint Martin,3582,119,45,,1399,North America,0
Saint Pierre and Miquelon,31,,,,30,North America,0
Saint Vincent and the Grenadines,2391,2,12,,2314,North America,0
Trinidad and Tobago,46553,270,1350,2,41360,North America,0
Turks and Caicos,2727,,20,,2600,North America,0
USA,41561156,160748,674547,1929,31744959,North America,0
