Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,4.689894628239576,,3.216165902285993,,4.538033042545394,Africa,1
Angola,3.5652573434202135,,2.155336037465062,,3.1464381352857744,Africa,1
Benin,3.357934847000454,,1.6020599913279623,,3.288249225571986,Africa,1
Botswana,3.3914644118391033,,1.0413926851582251,,2.7596678446896306,Africa,1
Burkina Faso,3.2425414282983844,,1.7481880270062005,,3.065206128054312,Africa,1
Burundi,2.673941998634088,,0.0,,2.5728716022004803,Africa,1
Cabo Verde,3.6970548922725746,,1.6720978579357175,,3.6464037262230695,Africa,1
Cameroon,4.307560214621736,,2.6180480967120925,,4.275011737778011,Africa,1
Central African Republic,3.679609571779756,,1.792391689498254,,3.2624510897304293,Africa,1
Chad,3.037426497940624,,1.9084850188786497,,2.9822712330395684,Africa,1
Comoros,2.6693168805661123,,0.8450980400142568,,2.649334858712142,Africa,1
DR Congo,4.017617573339674,,2.4265112613645754,,3.9924209560520243,Africa,1
Djibouti,3.7323133274712426,,1.7853298350107671,,3.7269715836828765,Africa,1
Egypt,5.006466042249231,,3.7555699806288,,4.937262054337457,Africa,1
Equatorial Guinea,3.6989700043360187,,1.919078092376074,,3.652826302561005,Africa,1
Eritrea,2.561101383649056,,,,2.484299839346786,Africa,0
Eswatini,3.7122286696195355,,2.0043213737826426,,3.6452257115354163,Africa,1
Ethiopia,4.821015409056685,,3.019116290447073,,4.425941588018896,Africa,1
Gabon,3.9384196457931933,,1.724275869600789,,3.893595333819883,Africa,1
Gambia,3.53655844257153,,2.0293837776852097,,3.267406418752904,Africa,1
Ghana,4.659488347116727,,2.4683473304121573,,4.651248930804595,Africa,1
Guinea,4.006637159068586,,1.7993405494535817,,3.9828137621318627,Africa,1
Guinea-Bissau,3.3569814009931314,,1.591064607026499,,3.0519239160461065,Africa,1
Ivory Coast,4.281760372199926,,2.0791812460476247,,4.262189959913005,Africa,1
Kenya,4.559918588906636,,2.802089257881733,,4.368547197567657,Africa,1
Lesotho,3.1228709228644354,,1.5185139398778875,,2.8369567370595505,Africa,1
Liberia,3.1245042248342823,,1.9138138523837167,,3.0842186867392387,Africa,1
Libya,4.396826789268784,,2.595496221825574,,4.1302694238053705,Africa,1
Madagascar,4.200604291644552,,2.3324384599156054,,4.160828543144547,Africa,1
Malawi,3.756179516843809,,2.250420002308894,,3.5756496147552195,Africa,1
Mali,3.472171146692363,,2.1072099696478683,,3.3637999454791094,Africa,1
Mauritania,3.865222456290179,,2.2068258760318495,,3.835310000869063,Africa,1
Mauritius,2.5622928644564746,,1.0,,2.5289167002776547,Africa,1
Mayotte,3.5281450782531065,,1.6020599913279623,,3.4718781993072905,Africa,1
Morocco,4.96386335025365,,3.2268575702887237,,4.863132442718785,Africa,1
Mozambique,3.7777167386096258,,1.591064607026499,,3.514149134475437,Africa,1
Namibia,3.9984337188644687,,2.03342375548695,,3.875177059814704,Africa,1
Niger,3.0726174765452368,,1.8388490907372552,,3.0429690733931802,Africa,1
Nigeria,4.752847122293327,,3.037824750588342,,4.680081571848349,Africa,1
Rwanda,3.6659560294539566,,1.3424226808222062,,3.44544851426605,Africa,1
Réunion,3.4774106879072515,,1.1760912590556813,,3.118264726089479,Africa,1
Senegal,4.163399932786864,,2.4756711883244296,,4.031650793551264,Africa,1
Seychelles,2.146128035678238,,,,2.1335389083702174,Africa,0
Sierra Leone,3.3289908554494287,,1.8573324964312685,,3.216429830876251,Africa,1
Somalia,3.530199698203082,,1.9912260756924949,,3.4490153163477864,Africa,1
South Africa,5.815208374574425,,4.196037940734524,,5.7665578356198965,Africa,1
South Sudan,3.4139699717480614,,1.6901960800285136,,3.110589710299249,Africa,1
Sudan,4.131458260106525,,2.9222062774390163,,3.8298824464434933,Africa,1
São Tomé and Príncipe,2.957607287060095,,1.1760912590556813,,2.9400181550076634,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.2062860444124324,,1.6020599913279623,,3.089905111439398,Africa,1
Tunisia,3.90848501887865,,2.110589710299249,,3.3634239329171765,Africa,1
Uganda,3.7214808547700495,,1.7781512503836436,,3.3809344633307017,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,4.142608435502473,,2.513217600067939,,4.109544800878346,Africa,1
Zimbabwe,3.8806992892187013,,2.3502480183341627,,3.7651467901080253,Africa,1
