Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,577338,,11910,58,448263,South America,1
Bolivia,128286,667,7447,53,86216,South America,1
Brazil,4419083,34784,134106,899,3720312,South America,1
Chile,439287,1304,12058,18,411853,South America,1
Colombia,736377,7787,23478,190,610078,South America,1
Ecuador,121525,1972,10996,33,97063,South America,1
Falkland Islands,13,,,,13,South America,0
French Guiana,9595,17,65,1,9235,South America,1
Guyana,1958,,58,,1302,South America,1
Paraguay,29298,,552,,15261,South America,1
Peru,738020,,30927,,580753,South America,1
Suriname,4625,,95,,3996,South America,1
Uruguay,1827,,45,,1545,South America,1
Venezuela,62655,,502,,50361,South America,1
