Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Argentina,5.8314000473724485,4.1292708601213155,4.169262864086446,2.591064607026499,5.729641765450593,South America,1
Bolivia,5.120541028862419,2.7299742856995555,3.888235673270567,1.5797835966168101,4.961686810478314,South America,1
Brazil,6.668377435749284,4.506897208550571,5.145764937831334,2.912753303671323,6.6046351990512875,South America,0
Chile,5.654786629126628,3.238297067875394,4.0958316249383335,2.093421685162235,5.63030173840534,South America,1
Colombia,5.898079291683399,3.8165726960261033,4.396617742582724,2.250420002308894,5.829278679536035,South America,1
Ecuador,5.117755048991034,3.0982975364946976,4.049721822152435,1.6232492903979006,5.01221274115003,South America,1
Falkland Islands,1.1139433523068367,,,,1.1139433523068367,South America,0
French Guiana,3.9907826918031377,1.4471580313422192,1.8129133566428555,,3.97570746353718,South America,1
Guyana,3.4114513421379375,1.6434526764861874,1.8512583487190752,0.3010299956639812,3.1711411510283822,South America,1
Paraguay,4.551096074586321,,2.8615344108590377,,4.29813229177961,South America,1
Peru,5.893592559475504,,4.503382063473732,,5.803790902442806,South America,1
Suriname,3.6793370305207937,,2.0043213737826426,,3.658964842664435,South America,1
Uruguay,3.2920344359947364,1.1139433523068367,1.6720978579357175,,3.225050696138049,South America,1
Venezuela,4.841603457882591,,2.7589118923979736,,4.769074396066867,South America,1
