Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,46364,,1556,,32745,Africa,1
Angola,2965,,117,,1198,Africa,1
Benin,2213,,40,,1793,Africa,1
Botswana,2002,,8,,493,Africa,1
Burkina Faso,1452,,55,,1103,Africa,1
Burundi,462,,1,,357,Africa,1
Cabo Verde,4330,,42,,3628,Africa,1
Cameroon,19604,,415,,18448,Africa,1
Central African Republic,4729,,62,,1818,Africa,1
Chad,1039,,79,,918,Africa,1
Comoros,452,,7,,410,Africa,1
DR Congo,10233,23,260,,9451,Africa,1
Djibouti,5388,,61,,5327,Africa,1
Egypt,99863,,5530,,78108,Africa,1
Equatorial Guinea,4972,,83,,4413,Africa,1
Eritrea,330,,,,295,Africa,0
Eswatini,4853,,94,,3951,Africa,1
Ethiopia,58672,,918,,21307,Africa,1
Gabon,8601,,53,,7424,Africa,1
Gambia,3197,,99,,1315,Africa,1
Ghana,44777,,283,,43693,Africa,1
Guinea,9798,,61,,8928,Africa,1
Guinea-Bissau,2245,,38,,1127,Africa,1
Ivory Coast,18588,,119,,17472,Africa,1
Kenya,35205,102,599,2,21310,Africa,1
Lesotho,1148,,31,,528,Africa,1
Liberia,1307,,82,,1182,Africa,1
Libya,18834,1085,296,11,2126,Africa,1
Madagascar,15352,33,202,2,14184,Africa,1
Malawi,5614,,175,,3551,Africa,1
Mali,2842,,127,,2238,Africa,1
Mauritania,7142,,160,,6669,Africa,1
Mauritius,356,,10,,335,Africa,1
Mayotte,3374,,40,,2964,Africa,1
Morocco,72394,,1361,,55274,Africa,1
Mozambique,4444,,27,,2615,Africa,1
Namibia,8810,125,91,2,3806,Africa,1
Niger,1177,,69,,1091,Africa,1
Nigeria,55005,,1057,,43013,Africa,1
Rwanda,4374,,19,,2235,Africa,1
Réunion,2277,55,13,,1313,Africa,0
Senegal,14014,27,291,1,10037,Africa,1
Seychelles,136,,,,127,Africa,0
Sierra Leone,2054,,71,,1611,Africa,1
Somalia,3362,,97,,2696,Africa,1
South Africa,638517,,14889,,563891,Africa,1
South Sudan,2544,,48,,1290,Africa,1
Sudan,13437,,833,,6730,Africa,1
São Tomé and Príncipe,898,,15,,859,Africa,1
Tanzania,509,,21,,183,Africa,1
Togo,1488,,32,,1106,Africa,1
Tunisia,5041,,93,,1752,Africa,1
Uganda,3776,109,44,3,1741,Africa,1
Western Sahara,10,,1,,8,Africa,1
Zambia,12776,,295,,11674,Africa,1
Zimbabwe,7116,279,208,2,5373,Africa,1
