Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
South Africa,3659698,98804,3524402,0,0,Africa
Morocco,1159157,15916,1135897,0,0,Africa
Tunisia,987256,27486,925164,0,0,Africa
Libya,488567,6210,447766,1815,9,Africa
Egypt,471460,23806,402121,0,0,Africa
Ethiopia,468379,7440,409804,0,0,Africa
Kenya,322702,5638,303107,0,0,Africa
Zambia,311264,3945,305425,0,0,Africa
Réunion,278494,603,250359,0,0,Africa
Algeria,264201,6805,176818,0,0,Africa
Botswana,262652,2614,256886,0,0,Africa
Nigeria,254293,3142,230755,0,0,Africa
Zimbabwe,233571,5386,225039,0,0,Africa
Mozambique,224920,2189,219106,0,0,Africa
Uganda,163049,3580,99859,0,0,Africa
Ghana,158434,1438,156625,0,0,Africa
Namibia,157034,4002,152480,0,0,Africa
Rwanda,129378,1456,45522,0,0,Africa
Cameroon,119107,1920,106050,0,0,Africa
Angola,98658,1899,96584,0,0,Africa
Senegal,85588,1958,83516,0,0,Africa
Malawi,85228,2606,74715,0,0,Africa
Eswatini,68993,1389,67483,0,0,Africa
Madagascar,63433,1350,57862,0,0,Africa
Sudan,61223,3892,40329,0,0,Africa
Mauritania,58616,977,57540,0,0,Africa
Cabo Verde,55863,400,55395,0,0,Africa
Gabon,47506,303,45387,0,0,Africa
Seychelles,39181,160,38481,0,0,Africa
Burundi,37947,38,773,0,0,Africa
Togo,36747,271,36397,0,0,Africa
Mayotte,36631,187,2964,0,0,Africa
Guinea,36393,440,32939,0,0,Africa
Tanzania,33549,796,0,0,0,Africa
Lesotho,32434,696,23116,0,0,Africa
Mali,30346,720,28550,0,0,Africa
Mauritius,29954,786,26168,0,0,Africa
Benin,26567,163,25506,0,0,Africa
Somalia,26313,1348,13182,0,0,Africa
Burkina Faso,20751,375,20309,0,0,Africa
South Sudan,16936,137,13077,0,0,Africa
Equatorial Guinea,15874,182,15625,0,0,Africa
Djibouti,15542,189,15343,0,0,Africa
Gambia,11924,365,11461,0,0,Africa
Eritrea,9689,103,9559,0,0,Africa
Niger,8743,306,8409,0,0,Africa
Comoros,8021,160,7812,0,0,Africa
Guinea-Bissau,7907,166,6935,0,0,Africa
Sierra Leone,7663,125,0,0,0,Africa
Liberia,7360,290,5747,0,0,Africa
Chad,7246,190,4874,0,0,Africa
Sao Tome and Principe,5930,72,5847,0,0,Africa
Western Sahara,10,1,8,0,0,Africa
Central African Republic,3,0,0,0,0,Africa
Saint Helena,2,0,2,0,0,Africa
