Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
USA,80145282,960157,51929244,0,0,North America
India,42851929,512371,42158510,0,0,Asia
Brazil,28250591,644695,25244026,0,0,South America
France,22304024,132662,19424964,0,0,Europe
UK,18654572,160610,16817120,0,0,Europe
Russia,15657928,347031,12657025,135172,796,Europe
Germany,13714255,122040,10031200,0,0,Europe
Turkey,13589511,92719,12755700,0,0,Asia
Italy,12494459,153190,11019298,0,0,Europe
Spain,10858000,98462,8735901,0,0,Europe
Argentina,8838674,125451,8596460,0,0,South America
Iran,6961562,135276,6517436,0,0,Asia
Netherlands,6118542,21489,3848330,0,0,
Colombia,6049952,138205,5870879,0,0,South America
Poland,5563446,109833,4890810,0,0,Europe
Mexico,5418257,315786,4676499,4832,98,North America
Indonesia,5231923,146541,4554711,0,0,Asia
Ukraine,4758773,104932,3985601,24440,287,Europe
Japan,4540656,22000,3698801,55903,179,Asia
South Africa,3659698,98804,3524402,0,0,Africa
Philippines,3654284,55776,3541840,1019,13,Asia
Israel,3566816,10001,3436102,0,0,Asia
Czechia,3523869,38335,3352052,13461,20,Europe
Belgium,3512212,30015,2667319,5984,30,Europe
Peru,3497896,209641,0,0,0,South America
Malaysia,3246779,32390,2955404,0,0,Asia
Canada,3243951,36046,3089377,0,0,North America
Portugal,3193178,20866,2696696,0,0,Europe
Australia,3074283,4966,2834719,24868,37,Oceania
Chile,2876455,41491,1908184,0,0,South America
Vietnam,2834373,39605,2294669,0,0,Asia
Thailand,2749561,22694,2557796,18363,35,Asia
Switzerland,2685103,13157,1920636,0,0,Europe
Romania,2671314,62624,2329184,0,0,Europe
Austria,2494535,14594,2198462,0,0,Europe
Denmark,2484492,4341,1942750,0,0,Europe
Sweden,2422856,16817,1846191,0,0,Europe
Greece,2317014,25417,2084672,0,0,Europe
Iraq,2293244,24876,2224520,0,0,Asia
S. Korea,2157734,7508,936891,99550,58,Asia
Bangladesh,1935242,28974,1763258,0,0,Asia
Serbia,1887596,14904,1715637,0,0,Europe
Hungary,1762878,43430,1535456,3193,131,Europe
Jordan,1582161,13713,1415431,0,0,Asia
Georgia,1565769,15933,1422540,12101,45,Asia
Pakistan,1502641,30053,1406361,961,13,Asia
Slovakia,1361039,18252,1108768,0,0,Europe
Kazakhstan,1299566,13545,1256284,483,2,Asia
Ireland,1276778,6443,1134794,0,0,Europe
Morocco,1159157,15916,1135897,0,0,Africa
Norway,1151288,1549,88952,0,0,Europe
Bulgaria,1072493,35185,798303,0,0,Europe
Cuba,1065947,8491,1054266,0,0,North America
Lebanon,1049274,9989,682977,0,0,Asia
Croatia,1041524,14869,1005744,0,0,Europe
Tunisia,987256,27486,925164,0,0,Africa
Nepal,975806,11925,952599,0,0,Asia
Bolivia,890420,21386,779958,673,8,South America
Belarus,887582,6375,873353,0,0,Europe
Slovenia,880073,6221,794142,0,0,Europe
UAE,875258,2296,821021,0,0,Asia
Lithuania,871458,8293,774782,5830,18,Europe
Ecuador,819886,35160,0,0,0,South America
Uruguay,819379,6895,776042,0,0,South America
Costa Rica,790444,7936,640463,0,0,North America
Azerbaijan,775432,9261,737710,0,0,Asia
Guatemala,758303,16794,694801,0,0,North America
Panama,751241,8029,733330,0,0,North America
Saudi Arabia,740396,8986,713592,0,0,Asia
Sri Lanka,638043,16024,607119,0,0,Asia
Paraguay,636520,18237,597468,0,0,South America
Finland,622717,2329,46000,0,0,Europe
Kuwait,614344,2530,595156,0,0,Asia
Singapore,596261,952,540287,0,0,Asia
Latvia,589763,5113,445154,0,0,Europe
Dominican Republic,572290,4357,565641,0,0,North America
Palestine,570355,5150,534103,0,0,Asia
Myanmar,568564,19338,524880,0,0,Asia
Venezuela,511772,5616,495739,0,0,South America
Moldova,495415,11117,467312,0,0,
Bahrain,495212,1438,460570,0,0,Asia
Libya,488567,6210,447766,1815,9,Africa
Egypt,471460,23806,402121,0,0,Africa
Ethiopia,468379,7440,409804,0,0,Africa
Estonia,462728,2170,335623,0,0,Europe
Mongolia,461796,2159,313256,449,0,Asia
Armenia,416510,8354,394155,753,16,Asia
Honduras,408456,10671,127289,0,0,North America
Oman,377948,4238,359445,1224,4,Asia
Bosnia and Herzegovina,368735,15327,192218,0,0,Europe
Qatar,354638,662,348444,0,0,Asia
Kenya,322702,5638,303107,0,0,Africa
Zambia,311264,3945,305425,0,0,Africa
Cyprus,308917,825,124370,0,0,Asia
North Macedonia,293559,8915,278326,0,0,Europe
Réunion,278494,603,250359,0,0,Africa
Albania,270370,3445,262402,0,0,Europe
Algeria,264201,6805,176818,0,0,Africa
Botswana,262652,2614,256886,0,0,Africa
Nigeria,254293,3142,230755,0,0,Africa
Uzbekistan,235602,1623,229019,175,2,Asia
Zimbabwe,233571,5386,225039,0,0,Africa
Montenegro,228956,2666,223815,0,0,Europe
Mozambique,224920,2189,219106,0,0,Africa
Kyrgyzstan,200368,2947,194377,31,1,Asia
Luxembourg,178507,985,167792,0,0,Europe
Afghanistan,172441,7549,152443,0,0,Asia
Maldives,165729,292,150436,0,0,Asia
Uganda,163049,3580,99859,0,0,Africa
Ghana,158434,1438,156625,0,0,Africa
Namibia,157034,4002,152480,0,0,Africa
El Salvador,147786,4044,123870,0,0,North America
Laos,141301,612,7660,0,0,Asia
Rwanda,129378,1456,45522,0,0,Africa
Jamaica,127665,2787,75279,0,0,North America
Cambodia,127575,3022,121125,598,2,Asia
Trinidad and Tobago,124076,3574,99478,0,0,North America
Guadeloupe,123622,828,2250,0,0,North America
Cameroon,119107,1920,106050,0,0,Africa
Iceland,109494,58,75685,0,0,Europe
Martinique,108349,861,104,0,0,North America
China,107989,4636,101544,138,0,Asia
Angola,98658,1899,96584,0,0,Africa
DRC,85876,1335,50930,0,0,
Senegal,85588,1958,83516,0,0,Africa
Malawi,85228,2606,74715,0,0,Africa
Ivory Coast,81374,791,79285,0,0,
Suriname,77810,1314,49352,94,4,South America
French Guiana,77532,388,11254,0,0,South America
Malta,70739,598,68964,0,0,Europe
Eswatini,68993,1389,67483,0,0,Africa
Fiji,63650,826,63580,0,0,Oceania
Madagascar,63433,1350,57862,0,0,Africa
Guyana,62668,1213,60604,0,0,South America
French Polynesia,62571,637,0,0,0,Oceania
Sudan,61223,3892,40329,0,0,Africa
Hong Kong,60363,300,13232,0,0,Asia
Mauritania,58616,977,57540,0,0,Africa
Belize,56256,645,53607,0,0,North America
Cabo Verde,55863,400,55395,0,0,Africa
Barbados,53884,311,50326,0,0,North America
Syria,53784,3053,45643,0,0,Asia
Channel Islands,49133,140,46315,0,0,
Gabon,47506,303,45387,0,0,Africa
New Caledonia,45326,287,34137,0,0,Oceania
Brunei ,41049,112,21555,3251,1,
Papua New Guinea,40296,636,37959,0,0,Oceania
Seychelles,39181,160,38481,0,0,Africa
Curaçao,38737,260,37949,0,0,North America
Burundi,37947,38,773,0,0,Africa
Andorra,37589,150,36668,0,0,Europe
Togo,36747,271,36397,0,0,Africa
Mayotte,36631,187,2964,0,0,Africa
Guinea,36393,440,32939,0,0,Africa
New Zealand,36162,56,17080,2845,3,Oceania
Aruba,33618,211,33355,0,0,North America
Tanzania,33549,796,0,0,0,Africa
Bahamas,33068,770,26029,0,0,North America
Lesotho,32434,696,23116,0,0,Africa
Faeroe Islands,32044,24,7693,0,0,
Mali,30346,720,28550,0,0,Africa
Haiti,30260,819,25169,0,0,North America
Mauritius,29954,786,26168,0,0,Africa
Benin,26567,163,25506,0,0,Africa
Somalia,26313,1348,13182,0,0,Africa
Saint Lucia,22545,357,21168,0,0,North America
Isle of Man,22407,79,22054,0,0,Europe
Timor-Leste,22406,125,21204,0,0,Asia
Burkina Faso,20751,375,20309,0,0,Africa
Taiwan,20100,852,18050,44,0,
Cayman Islands,18728,17,8553,0,0,North America
Nicaragua,17895,219,4225,0,0,North America
Tajikistan,17388,124,17252,0,0,Asia
South Sudan,16936,137,13077,0,0,Africa
Equatorial Guinea,15874,182,15625,0,0,Africa
Djibouti,15542,189,15343,0,0,Africa
Gibraltar,14873,101,13993,0,0,Europe
San Marino,14207,112,13703,0,0,Europe
CAR,14187,113,6859,0,0,
Grenada,13532,214,13114,0,0,North America
Gambia,11924,365,11461,0,0,Africa
Yemen,11741,2123,8567,0,0,Asia
Greenland,11581,12,2761,0,0,North America
Bermuda,11423,123,11096,0,0,North America
Liechtenstein,11293,75,10853,0,0,Europe
Dominica,10801,57,9947,0,0,North America
Bhutan,10112,6,6455,0,0,Asia
Saint Martin,9827,63,1399,0,0,North America
Eritrea,9689,103,9559,0,0,Africa
Monaco,9217,51,8986,0,0,Europe
Niger,8743,306,8409,0,0,Africa
Comoros,8021,160,7812,0,0,Africa
Guinea-Bissau,7907,166,6935,0,0,Africa
Sierra Leone,7663,125,0,0,0,Africa
