Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
India,42851929,512371,42158510,0,0,Asia
Turkey,13589511,92719,12755700,0,0,Asia
Iran,6961562,135276,6517436,0,0,Asia
Indonesia,5231923,146541,4554711,0,0,Asia
Japan,4540656,22000,3698801,55903,179,Asia
Philippines,3654284,55776,3541840,1019,13,Asia
Israel,3566816,10001,3436102,0,0,Asia
Malaysia,3246779,32390,2955404,0,0,Asia
Vietnam,2834373,39605,2294669,0,0,Asia
Thailand,2749561,22694,2557796,18363,35,Asia
Iraq,2293244,24876,2224520,0,0,Asia
S. Korea,2157734,7508,936891,99550,58,Asia
Bangladesh,1935242,28974,1763258,0,0,Asia
Jordan,1582161,13713,1415431,0,0,Asia
Georgia,1565769,15933,1422540,12101,45,Asia
Pakistan,1502641,30053,1406361,961,13,Asia
Kazakhstan,1299566,13545,1256284,483,2,Asia
Lebanon,1049274,9989,682977,0,0,Asia
Nepal,975806,11925,952599,0,0,Asia
UAE,875258,2296,821021,0,0,Asia
Azerbaijan,775432,9261,737710,0,0,Asia
Saudi Arabia,740396,8986,713592,0,0,Asia
Sri Lanka,638043,16024,607119,0,0,Asia
Kuwait,614344,2530,595156,0,0,Asia
Singapore,596261,952,540287,0,0,Asia
Palestine,570355,5150,534103,0,0,Asia
Myanmar,568564,19338,524880,0,0,Asia
Bahrain,495212,1438,460570,0,0,Asia
Mongolia,461796,2159,313256,449,0,Asia
Armenia,416510,8354,394155,753,16,Asia
Oman,377948,4238,359445,1224,4,Asia
Qatar,354638,662,348444,0,0,Asia
Cyprus,308917,825,124370,0,0,Asia
Uzbekistan,235602,1623,229019,175,2,Asia
Kyrgyzstan,200368,2947,194377,31,1,Asia
Afghanistan,172441,7549,152443,0,0,Asia
Maldives,165729,292,150436,0,0,Asia
Laos,141301,612,7660,0,0,Asia
Cambodia,127575,3022,121125,598,2,Asia
China,107989,4636,101544,138,0,Asia
Hong Kong,60363,300,13232,0,0,Asia
Syria,53784,3053,45643,0,0,Asia
Timor-Leste,22406,125,21204,0,0,Asia
Tajikistan,17388,124,17252,0,0,Asia
Yemen,11741,2123,8567,0,0,Asia
Bhutan,10112,6,6455,0,0,Asia
Brunei,141,2,138,0,0,Asia
