Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
Australia,3074283,4966,2834719,24868,37,Oceania
Fiji,63650,826,63580,0,0,Oceania
French Polynesia,62571,637,0,0,0,Oceania
New Caledonia,45326,287,34137,0,0,Oceania
Papua New Guinea,40296,636,37959,0,0,Oceania
New Zealand,36162,56,17080,2845,3,Oceania
Solomon Islands,5891,83,1547,0,0,Oceania
Palau,3563,6,2743,0,0,Oceania
Kiribati,2833,11,1211,0,0,Oceania
Tonga,234,0,38,0,0,Oceania
Samoa,33,0,3,0,0,Oceania
Guam,32,1,0,3,0,Oceania
Vanuatu,15,1,6,0,0,Oceania
Marshall Islands,7,0,7,0,0,Oceania
Cook Islands,4,0,0,0,0,Oceania
Micronesia,1,0,1,0,0,Oceania
