Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
France,22304024,132662,19424964,0,0,Europe
UK,18654572,160610,16817120,0,0,Europe
Russia,15657928,347031,12657025,135172,796,Europe
Germany,13714255,122040,10031200,0,0,Europe
Italy,12494459,153190,11019298,0,0,Europe
Spain,10858000,98462,8735901,0,0,Europe
Poland,5563446,109833,4890810,0,0,Europe
Ukraine,4758773,104932,3985601,24440,287,Europe
Czechia,3523869,38335,3352052,13461,20,Europe
Belgium,3512212,30015,2667319,5984,30,Europe
Portugal,3193178,20866,2696696,0,0,Europe
Switzerland,2685103,13157,1920636,0,0,Europe
Romania,2671314,62624,2329184,0,0,Europe
Austria,2494535,14594,2198462,0,0,Europe
Denmark,2484492,4341,1942750,0,0,Europe
Sweden,2422856,16817,1846191,0,0,Europe
Greece,2317014,25417,2084672,0,0,Europe
Serbia,1887596,14904,1715637,0,0,Europe
Hungary,1762878,43430,1535456,3193,131,Europe
Slovakia,1361039,18252,1108768,0,0,Europe
Ireland,1276778,6443,1134794,0,0,Europe
Norway,1151288,1549,88952,0,0,Europe
Bulgaria,1072493,35185,798303,0,0,Europe
Croatia,1041524,14869,1005744,0,0,Europe
Belarus,887582,6375,873353,0,0,Europe
Slovenia,880073,6221,794142,0,0,Europe
Lithuania,871458,8293,774782,5830,18,Europe
Finland,622717,2329,46000,0,0,Europe
Latvia,589763,5113,445154,0,0,Europe
Estonia,462728,2170,335623,0,0,Europe
Bosnia and Herzegovina,368735,15327,192218,0,0,Europe
North Macedonia,293559,8915,278326,0,0,Europe
Albania,270370,3445,262402,0,0,Europe
Montenegro,228956,2666,223815,0,0,Europe
Luxembourg,178507,985,167792,0,0,Europe
Iceland,109494,58,75685,0,0,Europe
Malta,70739,598,68964,0,0,Europe
Andorra,37589,150,36668,0,0,Europe
Isle of Man,22407,79,22054,0,0,Europe
Gibraltar,14873,101,13993,0,0,Europe
San Marino,14207,112,13703,0,0,Europe
Liechtenstein,11293,75,10853,0,0,Europe
Monaco,9217,51,8986,0,0,Europe
Caribbean Netherlands,7528,31,7390,0,0,Europe
Faroe Islands,2,0,0,0,0,Europe
Jersey,0,0,0,0,0,Europe
Guernsey,0,0,0,0,0,Europe
