USA,6139078,,186855,,3408799,North America
Brazil,3846965,,120498,,3006812,South America
India,3542733,3021,63657,,2713933,Asia
Russia,985346,,17025,,804383,Europe
Peru,639435,,28607,,446675,South America
South Africa,622551,,13981,,536694,Africa
Colombia,599914,,19064,,440574,South America
Mexico,591712,5974,63819,673,409127,North America
Spain,455621,,29011,,N/A,Europe
Chile,408009,,11181,,381183,South America
Argentina,401239,,8353,,287220,South America
Iran,371816,,21359,,319847,Asia
UK,332752,,41498,,N/A,Europe
Saudi Arabia,313911,,3840,,288441,Asia
Bangladesh,308925,,4206,,198863,Asia
Pakistan,295636,264,6288,4,280547,Asia
France,272530,,30602,,86177,Europe
Turkey,267064,,6284,,242812,Asia
Italy,266853,,35473,,208224,Europe
Germany,242825,,9363,,217484,Europe
Iraq,227446,,6891,,169020,Asia
Philippines,213131,,3419,,135101,Asia
Indonesia,169195,,7261,,122802,Asia
Canada,127673,,9113,,113501,North America
Qatar,118407,,196,,115251,Asia
Ukraine,116978,,2492,,56138,Europe
Bolivia,115354,945,4938,92,56749,South America
Israel,113623,158,906,,92587,Asia
Ecuador,112906,,6537,,95429,South America
Kazakhstan,105684,126,1523,,96135,Asia
Egypt,98497,,5376,,71302,Africa
Dominican Republic,93732,,1673,,66320,North America
Panama,91337,,1983,,65119,North America
Romania,85833,,3539,,37388,Europe
Oman,85005,,650,,79608,Asia
Belgium,84599,647,9891,5,18403,Europe
Kuwait,84224,,528,,75993,Asia
Sweden,83958,,5821,,N/A,Europe
Guatemala,73679,,2728,,61163,North America
Belarus,71523,,671,,70207,Europe
Netherlands,69632,,6224,,N/A,Europe
UAE,69328,,379,,60202,Asia
Japan,66423,,1255,,55341,Asia
Poland,66239,,2032,,45536,Europe
Morocco,60056,,1078,,44618,Africa
Honduras,59645,835,1842,15,10156,North America
Portugal,57448,,1818,,41766,Europe
Singapore,56717,,27,,55447,Asia
Nigeria,53727,,1011,,41314,Africa
Bahrain,51391,,189,,48275,Asia
Ethiopia,49654,,770,,18116,Africa
Venezuela,44946,,375,,36175,South America
Ghana,44118,,270,,42581,Africa
Kyrgyzstan,43820,108,1058,1,38198,Asia
Algeria,43781,,1491,,30717,Africa
Armenia,43626,,872,,37563,Asia
Switzerland,41722,,2005,,35200,Europe
Uzbekistan,41303,143,311,2,38359,Asia
Costa Rica,39699,,418,,15737,North America
Afghanistan,38162,19,1402,,29089,Asia
Nepal,37340,,207,,20555,Asia
Moldova,36404,,990,,25139,Europe
Azerbaijan,36174,,529,,33576,Asia
Kenya,33794,,572,,19590,Africa
Serbia,31282,,710,,29825,Europe
Ireland,28720,,1777,,23364,Europe
Austria,26985,,733,,22866,Europe
Australia,25670,123,611,11,20856,Australia/Oceania
El Salvador,25635,98,713,5,14013,North America
Czechia,24094,,421,,17541,Europe
Palestine,21668,,147,,14631,Asia
South Korea,19699,299,323,2,14903,Asia
Bosnia and Herzegovina,19550,,594,,12858,Europe
Cameroon,19142,,411,,17651,Africa
Ivory Coast,17893,,115,,16440,Africa
Denmark,16779,,624,,14989,Europe
Paraguay,16474,,294,,8854,South America
Lebanon,16275,,155,,4484,Asia
Bulgaria,16164,,605,,11253,Europe
Madagascar,14791,,190,,13753,Africa
North Macedonia,14293,,596,,11014,Europe
Senegal,13456,,282,,9233,Africa
Sudan,13189,,823,,6612,Africa
Libya,12958,,231,,1333,Africa
Zambia,11902,,284,,11092,Africa
Norway,10611,,264,,9348,Europe
DR Congo,10007,,258,,9068,Africa
Greece,9977,,260,,3804,Europe
Croatia,9861,,183,,7024,Europe
Malaysia,9317,,125,,9038,Asia
Albania,9279,,275,,5020,Europe
Guinea,9251,,59,,8282,Africa
French Guiana,9076,,58,,8620,South America
Tajikistan,8516,,68,,7309,Asia
Gabon,8505,,53,,7187,Africa
Haiti,8174,,201,,5743,North America
Finland,8049,,335,,7200,Europe
Maldives,7578,,28,,4925,Asia
Namibia,7116,,69,,2817,Africa
Mauritania,7012,,158,,6407,Africa
Luxembourg,6625,,124,,7140,Europe
Zimbabwe,6406,,196,,5056,Africa
Hungary,5669,,614,,3759,Europe
Malawi,5528,,174,,3143,Africa
Djibouti,5385,,60,,5314,Africa
Equatorial Guinea,4941,,83,,3884,Africa
Hong Kong,4787,,86,,4287,Asia
Montenegro,4727,,93,,3839,Europe
Central African Republic,4700,,61,,1784,Africa
Eswatini,4510,,91,,3359,Africa
Nicaragua,4494,,137,,2913,North America
Suriname,3954,,67,,2991,South America
Cuba,3925,,94,,3273,North America
Rwanda,3843,,16,,1904,Africa
Slovakia,3842,,33,,2254,Europe
