Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
Brazil,28250591,644695,25244026,0,0,South America
Argentina,8838674,125451,8596460,0,0,South America
Colombia,6049952,138205,5870879,0,0,South America
Peru,3497896,209641,0,0,0,South America
Chile,2876455,41491,1908184,0,0,South America
Bolivia,890420,21386,779958,673,8,South America
Ecuador,819886,35160,0,0,0,South America
Uruguay,819379,6895,776042,0,0,South America
Paraguay,636520,18237,597468,0,0,South America
Venezuela,511772,5616,495739,0,0,South America
Suriname,77810,1314,49352,94,4,South America
French Guiana,77532,388,11254,0,0,South America
Guyana,62668,1213,60604,0,0,South America
