Afghanistan,37599,,1375,,27166
Albania,7499,,230,,3816
Algeria,39025,,1379,,27347
Andorra,1005,,53,,869
Angola,1935,,88,,632
Anguilla,3,,,,3
Antigua and Barbuda,93,,3,,88
Argentina,299126,,5814,,217850
Armenia,41701,,824,,34655
Aruba,1121,,4,,212
Australia,23772,213,438,17,14539
Austria,23534,,729,,20765
Azerbaijan,34343,,508,,32042
Bahamas,1329,,19,,191
Bahrain,47185,,173,,43529
Bangladesh,279144,,3694,,160591
Barbados,152,,7,,122
Belarus,69589,,613,,67149
Belgium,78534,211,9944,5,18003
Belize,475,23,4,1,38
Benin,2063,,39,,1690
Bermuda,166,4,9,,147
Bhutan,146,5,,,103
Bolivia,101223,879,4123,65,37471
Bosnia and Herzegovina,16111,,486,,9856
Botswana,1308,,3,,136
Brazil,3363235,,108654,,2478494
British Virgin Islands,9,,1,,7
Brunei,141,,2,,138
Bulgaria,14500,,512,,9442
Burkina Faso,1280,,55,,1018
Burundi,413,,1,,336
Cabo Verde,3203,,36,,2336
Cambodia,273,,,,238
Cameroon,18582,,403,,16540
Canada,122872,,9032,,109059
Caribbean Netherlands,13,,,,7
Cayman Islands,203,,1,,202
Central African Republic,4667,,61,,1748
Chad,959,,76,,865
Channel Islands,609,,47,,545
Chile,387502,,10513,,360385
China,84871,22,4634,,79642
Colombia,476660,,15372,,301525
Comoros,405,,7,,379
Costa Rica,29084,,304,,9233
Croatia,6656,,166,,5254
Cuba,3364,,88,,2692
Curaçao,36,,1,,31
Cyprus,1351,,20,,870
Czechia,20202,,399,,14622
DR Congo,9706,,243,,8705
Denmark,15740,,621,,13417
Djibouti,5372,,59,,5211
Dominica,18,,,,18
Dominican Republic,86737,,1481,,54108
Ecuador,101751,,6083,,87120
Egypt,96590,,5173,,60651
El Salvador,23193,,618,,10977
Equatorial Guinea,4821,,83,,2182
Eritrea,285,,,,248
Estonia,2192,,63,,1976
Eswatini,3894,,73,,2371
Ethiopia,31336,,544,,12524
Falkland Islands,13,,,,13
Faroe Islands,373,,,,229
Fiji,28,,1,,20
Finland,7752,,334,,7050
France,219029,,30429,,84065
French Guiana,8622,,53,,7985
French Polynesia,211,,,,68
Gabon,8270,,53,,6404
Gambia,1872,,63,,401
Georgia,1341,,17,,1092
Germany,226686,,9296,,202900
Ghana,42653,,239,,40567
Gibraltar,217,,,,194
Greece,7222,,230,,3804
Greenland,14,,,,14
Grenada,24,,,,24
Guadeloupe,510,,14,,289
Guatemala,62944,,2389,,51530
Guinea,8620,,51,,7472
Guinea-Bissau,2117,,33,,1015
Guyana,709,,23,,349
Haiti,7897,,196,,5235
Honduras,50995,493,1583,8,7450
Hong Kong,4525,,69,,3599
Hungary,4946,,608,,3630
Iceland,2014,,10,,1888
India,2701604,,51925,,1976248
Indonesia,141370,,6207,,94458
Iran,345450,,19804,,299157
Iraq,180133,,5954,,128945
Ireland,27313,,1774,,23364
Isle of Man,336,,24,,312
Israel,94751,,692,,70291
Italy,254235,,35400,,203968
Ivory Coast,17107,,110,,13990
Jamaica,1129,16,14,,764
Japan,55667,,1099,,41196
Jordan,1398,,11,,1241
Kazakhstan,103300,267,1269,,84445
Kenya,30365,,482,,17160
Kuwait,76827,,502,,68633
Kyrgyzstan,41991,,1496,,34537
Laos,22,,,,19
Latvia,1323,,32,,1078
Lebanon,9337,,105,,2809
Lesotho,946,,30,,271
Liberia,1277,,82,,803
Libya,8579,,157,,969
Liechtenstein,94,,1,,87
Lithuania,2436,,81,,1705
Luxembourg,7469,,124,,6739
Macao,46,,,,46
Madagascar,13886,,171,,12603
Malawi,5125,,162,,2690
Malaysia,9212,,125,,8876
Maldives,5909,,23,,3488
Mali,2640,,125,,1987
Malta,1375,,9,,759
Martinique,336,,16,,98
Mauritania,6762,,157,,6018
Mauritius,346,,10,,334
Mayotte,3160,,39,,2964
Mexico,525733,3571,57023,266,359347
Moldova,30377,,908,,21220
Monaco,148,,4,,114
Mongolia,298,,,,278
Montenegro,4085,,80,,2986
